J, B, T, O, m, chi, E0, E1, E2, p0, p1, p2, w1, w2, boundary 
0.2, 0.0, 0.0, -7.1782895387183436e-06, 0.0, 3.616567108647344e-12, -1.999999999954899, 0.9999958875654517, 1.0000041125585746, 1.0, 0.0, 0.0, 1.9321842283344015, 1.9321829039843774, 0 
0.2, 0.0, 0.5, -6.952147425923856e-06, 0.0, 0.01350112808280817, -1.9999999999583271, 0.9999960468678595, 1.0000039532467444, 0.9950669512572874, 0.00246654387263396, 0.0024665048700815433, 1.9326947521003215, 1.9326934834244194, 0 
0.2, 0.0, 1.0, -4.763296251048129e-06, 0.0, 0.09613928107606905, -1.9999999999792932, 0.99999721345899, 1.000002786597953, 0.9094429985130613, 0.04527862691515753, 0.04527837457178084, 1.9415348823974743, 1.941534076006101, 0 
0.2, 0.0, 1.5, 1.8850206514269726e-06, 0.0, 0.14389599167093867, -1.9999999999093405, 0.999994169348416, 1.000005830900902, 0.7869860421641324, 0.10650739293017582, 0.10650656490569266, 1.9541089033303156, 1.954107526946709, 0 
0.2, 0.0, 2.0, 1.1559300255267158e-06, 0.0, 0.154508552876462, -1.9999999999701314, 0.999996653321994, 1.0000033467601437, 0.6914384540371236, 0.15428103114864103, 0.15428051481423521, 1.9638633374004166, 1.963862697709211, 0 
0.2, 0.7142857142857143, 0.0, -7.725777283165296e-06, 2.5832622204623886e-12, 4.816140907477681e-13, -1.9999999999429454, 0.28571428578099195, 1.714285714379178, 1.0, 0.0, 0.0, 2.408374042350798, 1.4559930899688154, 0 
0.2, 0.7142857142857143, 0.5, -7.98103296806279e-06, 0.00964366291629155, 0.028862087046304042, -1.999999999945521, 0.2857142857779799, 1.7142857143749572, 0.9891811196281833, 0.010231271642950492, 0.00058760872886312, 2.409159109668452, 1.457519940044836, 0 
0.2, 0.7142857142857143, 1.0, -4.813445492061522e-06, 0.06867091505433504, 0.11238332829345658, -1.9999999999798042, 0.2857142857378999, 1.7142857143187986, 0.8880409192359396, 0.09031499790911178, 0.02164408285495048, 2.417559923155559, 1.4703177232879352, 0 
0.2, 0.7142857142857143, 1.5, 1.8839919286109441e-06, 0.10278285119352762, 0.14896051032749408, -1.9999999999132163, 0.28571428581574937, 1.7142857144278763, 0.768082698500278, 0.1673500763472325, 0.0645672251524911, 2.4287121510075624, 1.483802703748917, 0 
0.2, 0.7142857142857143, 2.0, 1.1227184326773835e-06, 0.11036325205461572, 0.15500945663957197, -1.999999999971401, 0.2857142857477222, 1.7142857143325627, 0.6779547935754616, 0.21620422923991053, 0.10584097718462797, 2.4376665883472617, 1.493148700010802, 0 
