J, B, T, O, m, chi, E0, E1, E2, p0, p1, p2 
0.1, 0.0, 0.0, 5.303386265703355e-06, 0.0, 3.130116196047046e-12, -1.9999999998777973, 0.9999954871560727, 1.0000045131290656, 1.0, 0.0, 0.0
0.1, 0.3125, 0.0, 3.847578300960469e-06, 9.781613112647018e-13, 3.649606105629254e-12, -1.9999999998761175, 0.6875000001124312, 1.3125000001771332, 1.0, 0.0, 0.0
0.1, 0.625, 0.0, 5.023321919870802e-06, 2.2810038160182833e-12, 5.883377832138685e-12, -1.9999999998654239, 0.3750000001417429, 1.6250000001745364, 1.0, 0.0, 0.0
0.1, 0.9375, 0.0, 4.84062379597916e-06, 4.65527245635138e-12, 1.0625524229667265e-11, -1.9999999998382239, 0.06250000018061776, 1.9375000002034266, 1.0, 0.0, 0.0
0.1, 1.25, 0.0, 4.865257169821627e-06, 8.921956459560324e-12, 9.223286123514166e-12, -1.9999999998071962, -0.24999999977501242, 2.250000000240245, 1.0, 0.0, 0.0
0.1, 1.5625, 0.0, 2.557547363253498e-06, 1.0419826283547734e-11, -1.2773915345541627e-11, -1.9999999998625027, -0.5624999998316565, 2.562500000172252, 1.0, 0.0, 0.0
0.1, 1.875, 0.0, -1.270729986179048e-06, 9.382593685968075e-13, -5.297124554805652e-12, -1.9999999999930125, -0.8749999999908578, 2.875000000008954, 1.0, 0.0, 0.0
0.1, 2.1875, 0.0, -3.1435706234418494e-06, 7.109123436794202e-12, 5.966705282949084e-11, -1.9999999999747757, -1.1874999999631042, 3.1875000000341043, 1.0, 0.0, 0.0
0.1, 2.5, 0.0, -1.099463894121108e-05, 3.8230167387028586e-11, 1.3256398737737702e-09, -1.9999999999567784, -1.499999999918405, 3.5000000000679306, 1.0, 0.0, 0.0
0.1, 2.8125, 0.0, 2.376601714899559e-05, 8.356340445454006e-10, 1.4360191371385442, -1.9999999999658482, -1.8124999996523283, 3.812500000206345, 1.0, 0.0, 0.0
0.1, 3.125, 0.0, 0.27292659879958464, 0.8975119607498203, 1.5999999984957505, -2.1265384674394654, -1.9693826757734272, 4.140614679129529, 1.0, 0.0, 0.0
0.1, 3.4375, 0.0, -1.89626900237415e-05, 0.999999999895478, 0.16398086278961496, -2.4374999999159437, -1.9999999998254192, 4.437500000138274, 1.0, 0.0, 0.0
0.1, 3.75, 0.0, -3.942781908746359e-06, 0.9999999999933297, 1.2655867465127812e-10, -2.7499999999808704, -1.999999999971116, 4.750000000025558, 1.0, 0.0, 0.0
0.1, 4.0625, 0.0, 6.088554475473795e-06, 0.9999999999745772, -1.426414542038401e-13, -3.0624999998445275, -1.9999999997928013, 5.062500000192352, 1.0, 0.0, 0.0
0.1, 4.375, 0.0, 3.9329224828209275e-06, 0.9999999999932405, 3.640927559445117e-11, -3.374999999929058, -1.9999999999116027, 5.375000000084237, 1.0, 0.0, 0.0
0.1, 4.6875, 0.0, 4.189349171224849e-06, 0.999999999997333, 8.806111395642801e-12, -3.6874999999574367, -1.999999999949147, 5.687500000049242, 1.0, 0.0, 0.0
0.1, 5.0, 0.0, 8.117853712479375e-07, 0.9999999999987443, 4.516209628491197e-12, -3.9999999999717843, -1.9999999999672482, 6.000000000032056, 1.0, 0.0, 0.0
0.22666666666666666, 0.0, 0.0, -6.442925576892006e-06, 0.0, 3.11012983161676e-12, -1.9999999999577773, 0.9999956916084491, 1.0000043085131194, 1.0, 0.0, 0.0
0.22666666666666666, 0.3125, 0.0, -6.949547569196071e-06, 9.719155723802374e-13, 3.822581813055421e-12, -1.999999999953432, 0.687500000035191, 1.3125000000994773, 1.0, 0.0, 0.0
0.22666666666666666, 0.625, 0.0, -7.205045985361901e-06, 2.389113633159638e-12, 8.079116199832887e-12, -1.9999999999470122, 0.37500000006049755, 1.6250000000948477, 1.0, 0.0, 0.0
