J, B, T, O, m, chi, E0, E1, E2, E3, E4, E5, p0, p1, p2, p3, p4, p5 
0.1, 0.0, 0.0, 4.237196411363553e-06, 0.0, 5.273361490332136e-13, -3.999999999995099, 3.810975047173161e-12, 5.434655374146556e-12, 5.453760385166918e-12, 2.00000000000546, 2.0000000000076037, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 0.3125, 0.0, 1.1668221992963379e-05, 1.6479254657287925e-13, 8.92411497558973e-15, -3.9999999999546847, -0.3124999999545706, 4.776612895091064e-11, 0.31250000004243184, 2.000000000053112, 2.000000000068208, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 0.625, 0.0, 1.2116181838137759e-06, 5.577571859743581e-15, -2.5722875835006026e-13, -3.9999999999989937, -0.6249999999989433, 9.876285581138595e-13, 0.6250000000009517, 2.0000000000013047, 2.000000000001409, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 0.9375, 0.0, -3.396705356087082e-07, 4.0245726040915834e-15, 9.864511745643331e-15, -3.9999999999996207, -0.9374999999996029, 3.8638919461891403e-13, 0.9375000000003179, 2.000000000000463, 2.0000000000005818, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.25, 0.0, 3.702195139865217e-08, 1.1742891700770663e-14, 8.01621770034593e-15, -3.9999999999994493, -1.2499999999994205, 6.124033095360983e-13, 1.2500000000003086, 2.000000000000637, 2.0000000000009894, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.5625, 0.0, 2.2270486562720224e-07, 9.034708666807789e-15, 7.812508030683563e-14, -3.9999999999993348, -1.5624999999992637, 6.201217460120807e-13, 1.5625000000004523, 2.0000000000008553, 2.00000000000114, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.875, 0.0, -9.380648769435088e-07, 6.057106689254294e-14, 4.4364189349762305e-14, -3.999999999996832, -1.874999999996444, 2.968523381310914e-12, 1.8749999999985858, 2.0000000000042117, 2.0000000000089164, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 2.1875, 0.0, 1.7506369349039232e-06, 3.676232701040923e-14, -7.90192641448023e-14, -3.99999999999861, -2.1874999999984097, 1.303906803596637e-12, 2.0000000000003006, 2.00000000000188, 2.1875000000030096, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 2.5, 0.0, 6.635083027934686e-07, 1.11840268020415e-14, 8.57456409765852e-14, -3.9999999999990843, -2.4999999999989635, 7.587832051558662e-13, 2.000000000000954, 2.0000000000013656, 2.50000000000114, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 2.8125, 0.0, 1.4324284326652087e-06, 9.035335262077498e-14, 9.794022103273739e-13, -3.9999999999992357, -2.81249999999902, 8.430087650141091e-13, 2.0000000000006652, 2.000000000001018, 2.812500000001265, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 3.125, 0.0, -3.5531383295756567e-07, 6.233104082566502e-13, 1.9083160470899773e-13, -3.999999999980421, -3.1249999999774585, 1.625126481369925e-11, 2.0000000000216636, 2.0000000000299223, 3.1250000000231077, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 3.4375, 0.0, 2.244543075503843e-08, 2.0962310556389856e-13, 9.755872796937586e-09, -3.999999999997617, -3.437499999997154, 2.0266171285909502e-12, 2.000000000002699, 2.000000000003703, 3.4375000000028466, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 3.75, 0.0, 7.960058621693956e-05, 6.098043808494248e-09, 1.0442328355451604, -3.9999999996676925, -3.7499999966989668, 1.9076344605256307e-09, 2.000000001602313, 2.00000000190965, 3.750000002392896, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 4.0625, 0.0, 0.4098970234933648, 0.6526455222159349, 1.5999999902268425, -4.088605899463319, -3.8776593051851758, 0.05040469203668534, 2.0439921530834226, 2.050404698363008, 4.123891813401699, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 4.375, 0.0, -1.0137676612678604e-06, 0.9999999999898204, 0.555767164452812, -4.374999999983116, -3.9999999999766587, 1.6919142909903036e-11, 2.000000000020534, 2.000000000026573, 4.37500000002249, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 4.6875, 0.0, 1.7738157388560634e-06, 0.9999999999989424, 1.6258816515346552e-11, -4.68749999999179, -3.9999999999909392, 7.082817975064308e-12, 2.0000000000088898, 2.0000000000116787, 4.687500000009491, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 5.0, 0.0, -2.386830251195195e-07, 0.9999999999999821, 3.327116360196669e-12, -4.9999999999995905, -3.9999999999995888, 3.2644081130015e-13, 2.000000000000425, 2.000000000000566, 5.000000000000447, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.0, 0.0, -4.946382145491063e-07, 0.0, 1.8113046491686512e-12, -3.999999999991176, 3.740799021312517e-12, 1.0530546525126787e-11, 1.2196435528197478e-11, 2.0000000000134226, 2.0000000000197384, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.3125, 0.0, 3.941886588844368e-08, 5.660327028652035e-13, 2.7380457863454045e-14, -3.9999999999512497, -0.31249999995384475, 6.315083425608757e-11, 0.3125000000358602, 2.0000000000637015, 2.000000000121293, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
