J, B, T, O, m, chi, E0, E1, E2, p0, p1, p2, boundary 
0.1, 0.0, 0.0, 5.303386265703355e-06, 0.0, 2.982986031517431e-12, -1.9999999998777973, 0.9999954871560727, 1.0000045131290656, 1.0, 0.0, 0.0
, 00.1, 0.16129032258064516, 0.0, 4.675889902633346e-06, 4.81126779277005e-13, 3.095755538756393e-12, -1.9999999998799265, 0.8387096774978076, 1.1612903227824953, 1.0, 0.0, 0.0
, 00.1, 0.3225806451612903, 0.0, 3.8718894565855505e-06, 9.98630818953675e-13, 3.4386884304662882e-12, -1.9999999998776652, 0.6774193549507964, 1.3225806453351867, 1.0, 0.0, 0.0
, 00.1, 0.4838709677419355, 0.0, 3.9389005020411955e-06, 1.590381111685485e-12, 4.1723034180250065e-12, -1.999999999874097, 0.5161290323849915, 1.4838709679100337, 1.0, 0.0, 0.0
, 00.1, 0.6451612903225806, 0.0, 4.981383910435816e-06, 2.3445351473488385e-12, 5.517443728899646e-12, -1.9999999998668416, 0.3548387098183575, 1.6451612904947521, 1.0, 0.0, 0.0
, 00.1, 0.8064516129032258, 0.0, 5.844856268004059e-06, 3.370201669395048e-12, 7.440702411828237e-12, -1.9999999998555873, 0.19354838725465007, 1.806451613086519, 1.0, 0.0, 0.0
, 00.1, 0.967741935483871, 0.0, 5.370547596729447e-06, 4.74476173180956e-12, 1.0106803344081168e-11, -1.9999999998426643, 0.032258064692578824, 1.9677419356813972, 1.0, 0.0, 0.0
, 00.1, 1.129032258064516, 0.0, 5.540350256445434e-06, 6.6304608126470375e-12, 1.9022947114358837e-12, -1.999999999827972, -0.12903225786712735, 2.129032258279237, 1.0, 0.0, 0.0
, 00.1, 1.2903225806451613, 0.0, 2.054947216867636e-06, 5.358405187111458e-12, 3.753284911544371e-12, -1.9999999998911029, -0.2903225805173568, 2.2903225807808436, 1.0, 0.0, 0.0
, 00.1, 1.4516129032258065, 0.0, 3.0172879167440707e-06, 7.841197880887157e-12, 2.0894398932019248e-11, -1.999999999876039, -0.4516129030767825, 2.451612903380553, 1.0, 0.0, 0.0
, 00.1, 1.6129032258064515, 0.0, 2.9693359619566136e-06, 1.2098533874859602e-11, 3.897397894247261e-11, -1.9999999998533846, -0.6129032256253211, 2.612903225990544, 1.0, 0.0, 0.0
, 00.1, 1.7741935483870968, 0.0, 4.0250289764260284e-06, 2.0413449152652516e-11, -3.305199153150859e-11, -1.999999999814746, -0.7741935481506416, 2.7741935486221503, 1.0, 0.0, 0.0
, 00.1, 1.935483870967742, 0.0, -1.4694274022589396e-06, 1.4366011227600583e-12, -5.011920981945384e-11, -1.9999999999905675, -0.9354838709551966, 2.9354838709799096, 1.0, 0.0, 0.0
, 00.1, 2.096774193548387, 0.0, -2.8392718563016602e-06, 4.24596211411902e-12, 4.263650597984421e-11, -1.9999999999808173, -1.0967741935214395, 3.0967741935737862, 1.0, 0.0, 0.0
, 00.1, 2.258064516129032, 0.0, -4.890394948889594e-06, 1.5190312729161416e-11, 2.828538377185065e-10, -1.9999999999562406, -1.2580645160625445, 3.25806451618942, 1.0, 0.0, 0.0
, 00.1, 2.4193548387096775, 0.0, -1.9407316215065772e-05, 9.548913557170177e-11, 6.784555491648169e-10, -1.99999999984498, -1.4193548384432, 3.419354838939537, 1.0, 0.0, 0.0
, 00.1, 2.5806451612903225, 0.0, -2.5918825830360494e-05, 2.340469414920056e-10, 2.5393458268505624e-10, -1.9999999998301703, -1.580645160923685, 3.5806451615817125, 1.0, 0.0, 0.0
, 00.1, 2.7419354838709675, 0.0, -8.454420991060559e-06, 1.7740351708301022e-10, 0.604361132623387, -1.9999999999690137, -1.7419354837483296, 3.7419354839541143, 1.0, 0.0, 0.0
, 00.1, 2.903225806451613, 0.0, 0.35944643287704436, 0.19495520430610727, 2.177159050709714, -2.0057925939767913, -1.8470506872422223, 3.9303824034070924, 1.0, 0.0, 0.0
, 00.1, 3.064516129032258, 0.0, 0.41505050376222824, 0.7023093713740854, 2.495638866468526, -2.0781999630515777, -1.9190996607117858, 4.100636560913129, 1.0, 0.0, 0.0
, 00.1, 3.225806451612903, 0.0, -8.413046071718572e-07, 0.9999999999411155, 0.9228409478489161, -2.2258064516066653, -1.9999999999672502, 4.225806451633823, 1.0, 0.0, 0.0
, 00.1, 3.3870967741935485, 0.0, -2.9169916908781748e-05, 0.9999999997124455, -1.08656261765816e-10, -2.3870967740250664, -1.9999999996107227, 4.387096774491958, 1.0, 0.0, 0.0
, 00.1, 3.5483870967741935, 0.0, -1.826920822999747e-05, 0.9999999999060651, 8.591907185717673e-10, -2.5483870966429283, -1.999999999767254, 4.54838709696849, 1.0, 0.0, 0.0
, 00.1, 3.7096774193548385, 0.0, -7.200249710123163e-06, 0.9999999999896038, 1.6620134157818712e-10, -2.7096774193284974, -1.999999999959241, 4.7096774193905855, 1.0, 0.0, 0.0
, 00.1, 3.870967741935484, 0.0, 3.2919996563792976e-06, 0.9999999999596785, -5.7116589236017035e-11, -2.8709677417747077, -1.999999999771207, 4.870967742142568, 1.0, 0.0, 0.0
, 00.1, 4.032258064516129, 0.0, 6.900741934136312e-06, 0.999999999971179, 8.211806790114907e-11, -3.0322580643503825, -1.9999999997771836, 5.032258064722285, 1.0, 0.0, 0.0
, 00.1, 4.193548387096774, 0.0, 6.876770792084083e-06, 0.9999999999861682, 6.646766470552734e-11, -3.193548386988652, -1.9999999998605165, 5.193548387227915, 1.0, 0.0, 0.0
, 00.1, 4.354838709677419, 0.0, 4.0357718177029545e-06, 0.9999999999926202, 3.0620039837003786e-11, -3.354838709602304, -1.9999999999060813, 5.3548387097667955, 1.0, 0.0, 0.0
, 00.1, 4.516129032258064, 0.0, 2.592247412027543e-06, 0.9999999999960456, 1.4838164030805958e-11, -3.5161290322073233, -1.9999999999380982, 5.516129032317531, 1.0, 0.0, 0.0
, 00.1, 4.67741935483871, 0.0, 3.074025071289274e-06, 0.9999999999974067, 7.986100669654662e-12, -3.677419354797821, -1.9999999999510978, 5.677419354886045, 1.0, 0.0, 0.0
, 00.1, 4.838709677419355, 0.0, 1.5279375856925431e-06, 0.9999999999986218, 4.146549770212005e-12, -3.8387096773932012, -1.999999999969222, 5.838709677449327, 1.0, 0.0, 0.0
, 00.1, 5.0, 0.0, 8.117853712479375e-07, 0.9999999999987443, 7.599254558954272e-13, -3.9999999999717843, -1.9999999999672482, 6.000000000032056, 1.0, 0.0, 0.0
, 00.16129032258064516, 0.0, 0.0, -7.326104881204418e-06, 0.0, 1.8710026428594517e-12, -1.9999999999572435, 0.9999964881244681, 1.0000035119857127, 1.0, 0.0, 0.0
, 00.16129032258064516, 0.16129032258064516, 0.0, -7.562789615674163e-06, 3.017746198160406e-13, 2.17315755607029e-12, -1.9999999999564948, 0.8387096774367534, 1.1612903226754427, 1.0, 0.0, 0.0
, 00.16129032258064516, 0.3225806451612903, 0.0, -7.775322769448573e-06, 7.010185664742872e-13, 2.306749618576394e-12, -1.9999999999504312, 0.6774193548810855, 1.322580645247054, 1.0, 0.0, 0.0
, 00.16129032258064516, 0.4838709677419355, 0.0, -8.089588286391599e-06, 1.045887400001974e-12, 2.6503476286958342e-12, -1.9999999999522644, 0.5161290323064722, 1.4838709678174204, 1.0, 0.0, 0.0
, 00.16129032258064516, 0.6451612903225806, 0.0, -8.180205353394936e-06, 1.5559694144406852e-12, 3.860488181543943e-12, -1.9999999999491416, 0.3548387097334394, 1.6451612903993267, 1.0, 0.0, 0.0
, 00.16129032258064516, 0.8064516129032258, 0.0, -9.02209824887673e-06, 2.2912061682419555e-12, 6.29100039301896e-12, -1.999999999943636, 0.19354838716228973, 1.8064516129860213, 1.0, 0.0, 0.0
, 00.16129032258064516, 0.967741935483871, 0.0, -9.5483180599867e-06, 3.585324379930672e-12, 1.0497405427225794e-11, -1.999999999931966, 0.03225806459860717, 1.967741935582275, 1.0, 0.0, 0.0
, 00.16129032258064516, 1.129032258064516, 0.0, -9.656147845539648e-06, 5.677465983476083e-12, 1.8296238930866772e-11, -1.9999999999160527, -0.12903225795885406, 2.129032258185019, 1.0, 0.0, 0.0
