J, B, T, O, m, chi, E0, E1, E2, E3, E4, E5, p0, p1, p2, p3, p4, p5, boundary 
0.1, 0.0, 0.0, 4.237196411363553e-06, 0.0, 6.318628081940557e-13, -3.999999999995099, 3.810975047173161e-12, 5.434655374146556e-12, 5.453760385166918e-12, 2.00000000000546, 2.0000000000076037, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
0.1, 0.3333333333333333, 0.0, 1.2841703606508219e-05, 2.1062093606468523e-13, 8.53349978561014e-15, -3.9999999999452385, -0.3333333332782727, 5.7576091217171515e-11, 0.3333333333845575, 2.0000000000641256, 2.000000000082575, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
0.1, 0.6666666666666666, 0.0, 1.4650035347256403e-06, 5.688999857073426e-15, -3.092682436687331e-13, -3.9999999999993743, -0.6666666666660319, 6.789321168214536e-13, 0.6666666666671943, 2.00000000000071, 2.00000000000099, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
0.1, 1.0, 0.0, 4.551854890034242e-07, 4.442106952196503e-15, 1.281119522158693e-14, -3.999999999999698, -0.9999999999996817, 3.3161843205177773e-13, 1.000000000000227, 2.0000000000003655, 2.0000000000004947, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
0.1, 1.3333333333333333, 0.0, 1.123600754765537e-06, 1.4229796671464713e-14, 1.1609824657645462e-14, -3.9999999999990568, -1.3333333333323116, 9.398524706958744e-13, 1.333333333334007, 2.000000000001225, 2.0000000000015192, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
0.1, 1.6666666666666665, 0.0, 1.1537279269357498e-06, 1.2181990057293478e-14, 7.544085223944733e-14, -3.9999999999996385, -1.66666666666626, 4.093308199973363e-13, 1.6666666666666146, 2.0000000000004188, 2.0000000000009392, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
0.1, 2.0, 0.0, -2.7674602175986585e-07, 6.45236981644296e-14, -8.537187187788871e-15, -3.9999999999984217, -1.9999999999981901, 1.7039026036565526e-12, 1.9999992379564622, 2.0000000000019265, 2.000000762047383, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
0.1, 2.333333333333333, 0.0, 1.2889538711826753e-06, 6.490531932100897e-15, 3.18638951484049e-13, -3.999999999999468, -2.333333333332735, 4.459479510892336e-13, 2.0000000000005067, 2.000000000000776, 2.3333333333340462, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
0.1, 2.6666666666666665, 0.0, -8.303699683652195e-07, 2.7694966582046227e-13, 5.552362149494597e-15, -3.999999999997515, -2.666666666663505, 2.868861804671474e-12, 2.0000000000016684, 2.0000000000031846, 2.66666666667128, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
0.1, 3.0, 0.0, -2.3519397148808255e-07, 1.0192106698430629e-14, -1.3955780304020763e-13, -3.9999999999968625, -2.9999999999965015, 2.4624929613982956e-12, 2.000000000003482, 2.0000000000048677, 3.0000000000035167, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
0.1, 3.333333333333333, 0.0, -6.215150972411332e-07, 1.8391113046032385e-13, 2.384203623172514e-12, -3.9999999999989932, -3.3333333333320163, 9.77680967069619e-13, 2.0000000000011413, 2.0000000000015308, 3.3333333333346897, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
0.1, 3.6666666666666665, 0.0, -2.5642331133866035e-08, 1.59966118881344e-12, 0.7575931336178282, -3.9999999999948472, -3.666666666659953, 4.638108446816385e-12, 2.0000000000061275, 2.00000000000835, 3.6666666666731498, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.1, 4.0, 0.0, 0.4280093420862975, 0.5050620890787361, 1.499999999978662, -4.0524141075015745, -3.8427067261486383, 0.05495759977442962, 2.047678651411852, 2.0549575999876746, 4.067272581137135, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
0.1, 4.333333333333333, 0.0, -2.4559272282677396e-06, 0.9999999999873742, 0.7424068663788922, -4.333333333289182, -3.99999999995138, 3.623813393759637e-11, 2.000000000048189, 2.0000000000653366, 4.333333333383468, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.1, 4.666666666666666, 0.0, 9.496107962523334e-08, 0.9999999999979975, 1.8911872068372304e-11, -4.666666666650346, -3.9999999999822586, 1.3826713944332522e-11, 2.0000000000175833, 2.0000000000231988, 4.666666666685304, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
0.1, 5.0, 0.0, -2.386830251195195e-07, 0.9999999999999821, 5.9539040364597895e-12, -4.9999999999995905, -3.9999999999995888, 3.2644081130015e-13, 2.000000000000425, 2.000000000000566, 5.000000000000447, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
0.22666666666666666, 0.0, 0.0, -4.946382145491063e-07, 0.0, 3.0587204779270424e-15, -3.999999999991176, 3.740799021312517e-12, 1.0530546525126787e-11, 1.2196435528197478e-11, 2.0000000000134226, 2.0000000000197384, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
0.22666666666666666, 0.3333333333333333, 0.0, 3.684432953937405e-07, 1.0195734926423475e-15, 2.924294946009953e-14, -3.9999999999998543, -0.3333333333331733, 1.3261532136974531e-13, 0.33333333333347526, 2.0000000000002407, 2.000000000000309, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
0.22666666666666666, 0.6666666666666666, 0.0, 1.1967059941717946e-06, 1.9495299640066352e-14, 1.4712339016824214e-13, -3.9999999999989546, -0.6666666666655066, 1.0981060366031662e-12, 0.6666666666674563, 2.0000000000015943, 2.0000000000024647, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
