J, B, T, O, m, chi, E0, E1, E2, E3, E4, E5, p0, p1, p2, p3, p4, p5 
0.1, 0.0, 0.0, 4.237196411363553e-06, 0.0, 2.7754062978484162e-14, -3.999999999995099, 3.810975047173161e-12, 5.434655374146556e-12, 5.453760385166918e-12, 2.00000000000546, 2.0000000000076037, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 0.07936507936507936, 0.0, 3.5425235601904692e-06, 2.2027034109908064e-15, 2.2060477135083e-13, -3.9999999999946114, -0.0793650793594094, 4.854225409967446e-12, 0.0793650793707095, 2.000000000006562, 2.0000000000077995, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 0.15873015873015872, 0.0, 7.629360043920341e-06, 3.5016630373147616e-14, 1.2347317620348944e-12, -3.999999999983843, -0.1587301587145449, 1.7848191177360394e-11, 0.15873015874514043, 2.0000000000181064, 2.0000000000250377, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 0.23809523809523808, 0.0, 1.4776865827258179e-05, 1.9819187198795817e-13, 8.340584012561017e-13, -3.9999999999350013, -0.2380952380312946, 7.040835096392135e-11, 0.2380952381555928, 2.000000000074229, 2.000000000099538, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 0.31746031746031744, 0.0, 1.1726400614305678e-05, 1.6740685279475106e-13, 1.7846002013140334e-12, -3.99999999995365, -0.3174603174137166, 4.856701277356907e-11, 0.31746031750387227, 2.000000000054428, 2.0000000000696674, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 0.3968253968253968, 0.0, 1.7750775969466506e-05, 4.814617452124079e-13, -1.0480339250310096e-12, -3.9999999998896976, -0.39682539671333245, 1.1441303571917622e-10, 0.3968253969286457, 2.0000000001304725, 2.0000000001654774, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 0.47619047619047616, 0.0, -2.696798809939923e-07, 1.0522615199876456e-15, -3.0257273694208154e-12, -3.999999999999563, -0.47619047619000454, 3.9411014309220866e-13, 0.476190476190928, 2.00000000000054, 2.0000000000006395, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 0.5555555555555556, 0.0, -6.683916803925885e-08, 1.187559590056279e-15, -5.326414273157819e-15, -3.999999999999854, -0.555555555555406, 1.6518866019958296e-13, 0.555555555555683, 2.0000000000001816, 2.0000000000002203, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 0.6349206349206349, 0.0, 1.2512541047023052e-06, 2.0679893694672207e-16, 2.1368741161252468e-16, -3.9999999999995577, -0.6349206349201428, 3.533284852979725e-13, 0.6349206349211233, 2.000000000000502, 2.0000000000006852, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 0.7142857142857142, 0.0, 6.323873418328127e-07, 1.2214782268201717e-15, 5.199448017900793e-15, -3.999999999999778, -0.7142857142854775, 2.1220142928129223e-13, 0.7142857142859287, 2.0000000000002887, 2.0000000000003153, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 0.7936507936507936, 0.0, 5.562048814230109e-07, 1.032108146137324e-15, -3.8683808182629115e-15, -3.9999999999998366, -0.7936507936506211, 1.548712295677841e-13, 0.7936507936509466, 2.0000000000002016, 2.00000000000024, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 0.873015873015873, 0.0, 1.375481692459865e-07, 6.074495255085985e-16, -5.805113721948318e-15, -3.999999999999949, -0.8730158730158206, 5.4422202247402934e-14, 0.8730158730159133, 2.0000000000000617, 2.00000000000008, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 0.9523809523809523, 0.0, 1.3785672693849549e-06, 1.1066152360584516e-16, -3.208417987826938e-15, -3.999999999999484, -0.952380952380375, 4.073453292370574e-13, 0.9523809523815279, 2.0000000000005818, 2.0000000000008065, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.0317460317460316, 0.0, 1.4843713487392492e-07, 9.817682902813217e-17, 1.606725108725393e-14, -3.9999999999999014, -1.0317460317459246, 7.701173617953345e-14, 1.0317460317461373, 2.000000000000111, 2.000000000000149, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.1111111111111112, 0.0, 2.7148431180790703e-07, 2.661018839042977e-15, 2.3536513071430872e-14, -3.9999999999998455, -1.111111111110946, 1.701971319522552e-13, 1.1111111111112177, 2.0000000000001834, 2.0000000000002625, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.1904761904761905, 0.0, 7.484232348995063e-07, 3.83413128481081e-15, 1.2851443962411665e-13, -3.9999999999994946, -1.190476190475641, 4.574651892131758e-13, 1.190476190476656, 2.000000000000641, 2.000000000000754, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.2698412698412698, 0.0, 1.9371003848161605e-06, 2.3060136239696414e-14, -1.95419633068809e-14, -3.9999999999986295, -1.2698412698397878, 1.429960348515294e-12, 1.2698412698422088, 2.0000000000016596, 2.000000000002353, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.349206349206349, 0.0, 3.336071494676224e-07, 7.322323472106676e-16, -1.3894119341420293e-13, -3.999999999999957, -1.349206349206302, 4.398876804088692e-14, 1.3492063492063795, 2.0000000000000537, 2.000000000000075, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.4285714285714284, 0.0, 3.099330752139766e-07, 1.0059785549022973e-15, 4.3445037824676003e-13, -3.999999999998133, -1.4285714285693523, 1.4667283379017832e-12, 1.4285714285734779, 2.000000000002102, 2.0000000000028995, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.507936507936508, 0.0, 2.9992058212653075e-06, 6.969260984669638e-14, 3.0570961848909105e-14, -3.9999999999971414, -1.507936507933373, 3.07632293681031e-12, 1.5079365079376235, 2.0000000000033866, 2.000000000005799, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.5873015873015872, 0.0, 1.733702563552086e-06, 5.8585121817132665e-15, -3.623169046732383e-13, -3.9999999999990012, -1.5873015873004832, 8.407763576004794e-13, 1.5873015873025016, 2.0000000000012497, 2.0000000000015605, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.6666666666666665, 0.0, 1.1537279269357498e-06, 1.2181990057293478e-14, 7.521030553825367e-14, -3.9999999999996385, -1.66666666666626, 4.093308199973363e-13, 1.6666666666666146, 2.0000000000004188, 2.0000000000009392, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.746031746031746, 0.0, -3.520810985730197e-07, 1.7796655917944007e-14, -7.235357594728425e-14, -3.9999999999995013, -1.7460317460311863, 5.603904656149081e-13, 1.7460317460314974, 2.000000000000622, 2.000000000001436, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.8253968253968254, 0.0, 2.3021299884023452e-07, 6.972954624864554e-16, -7.456299609361839e-14, -3.9999999999999676, -1.82539682539679, 3.031689893097993e-14, 1.8253968253968165, 2.0000000000000404, 2.0000000000000826, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.9047619047619047, 0.0, -2.2721821398909733e-07, 5.961259712607756e-15, 2.149573127616203e-14, -3.9999999999996376, -1.904761904761497, 3.30597414885291e-13, 1.9047619047616888, 2.0000000000004845, 2.0000000000010765, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.984126984126984, 0.0, -4.0687795117605625e-08, 4.109316299972492e-15, -6.211666084055395e-15, -3.9999999999996385, -1.9841269841265807, 3.111549980990259e-13, 1.9841269841250182, 2.000000000000496, 2.00000000000282, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 2.0634920634920633, 0.0, 5.884235453635782e-07, 4.9752809691068995e-15, 4.672662681917662e-14, -3.999999999999684, -2.063492063491704, 2.828346890514969e-13, 1.9999999999997387, 2.0000000000004388, 2.063492063493081, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 2.142857142857143, 0.0, 8.258682813790672e-07, 1.1526241191905288e-14, -3.002139467346955e-14, -3.9999999999997664, -2.1428571428568657, 2.578257061308562e-13, 1.999999999999685, 2.000000000000295, 2.142857142858038, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 2.2222222222222223, 0.0, 1.0320615234402455e-07, 2.099802272863361e-16, 1.7261184197680514e-14, -3.9999999999999982, -2.222222222222219, 3.968415574169771e-15, 1.9999999999999976, 2.0000000000000044, 2.2222222222222325, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 2.3015873015873014, 0.0, 1.1807509051400822e-07, 1.4266111699473623e-14, 7.061910388619072e-13, -3.999999999999279, -2.3015873015864816, 6.372105606679722e-13, 2.0000000000005733, 2.0000000000010187, 2.301587301588421, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 2.380952380952381, 0.0, 2.0644071475096892e-06, 1.1230379591965254e-13, -5.803572926324402e-14, -3.999999999997716, -2.380952380949693, 2.317254986405738e-12, 2.000000000001157, 2.000000000003035, 2.38095238095672, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 2.46031746031746, 0.0, 8.554488780898812e-07, 5.054091181498381e-15, -6.954967198073817e-13, -3.9999999999997544, -2.4603174603171776, 2.1739226989019092e-13, 2.000000000000242, 2.0000000000003646, 2.4603174603178033, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 2.5396825396825395, 0.0, 4.104352648446252e-07, 1.9074911883221184e-15, 8.836415480236245e-13, -3.9999999999999405, -2.5396825396824667, 5.661605055610169e-14, 2.0000000000000617, 2.000000000000091, 2.53968253968263, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 2.619047619047619, 0.0, -8.839233303775131e-07, 1.4531465435985148e-13, 6.003583944806354e-13, -3.999999999997572, -2.6190476190447187, 2.4066797841237023e-12, 2.000000000002057, 2.0000000000033173, 2.6190476190514156, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 2.698412698412698, 0.0, -3.9647492005003763e-07, 9.720247443921662e-14, -8.01302671782127e-13, -3.999999999996602, -2.698412698408786, 2.9550476641742647e-12, 2.000000000003515, 2.000000000004977, 2.698412698417067, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 2.7777777777777777, 0.0, 8.233621805149105e-08, 1.812375407697419e-14, 2.8103904835476527e-13, -3.9999999999997944, -2.777777777777526, 2.080859462212175e-13, 2.0000000000001807, 2.0000000000002713, 2.777777777778092, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 2.8571428571428568, 0.0, 5.093352122714518e-08, 1.4181184719394127e-13, 7.320286817360742e-13, -3.9999999999977343, -2.8571428571401425, 2.1239960203890783e-12, 2.000000000002323, 2.0000000000032316, 2.8571428571459574, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 2.9365079365079363, 0.0, -5.157353418001778e-07, 1.343187829239701e-13, 8.274363275249344e-14, -3.9999999999969154, -2.9365079365043205, 2.706448628489391e-12, 2.0000000000033165, 2.0000000000045834, 2.9365079365118247, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 3.015873015873016, 0.0, -4.2224782556701075e-07, 1.5494575715465451e-13, 2.351262327990735e-12, -3.9999999999874816, -3.015873015858899, 1.0044209422920302e-11, 2.0000000000138387, 2.000000000019266, 3.0158730158873626, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 3.095238095238095, 0.0, -6.195202556786412e-07, 5.075350254621819e-13, 9.92222109152184e-12, -3.9999999999816898, -3.095238095217098, 1.512202539099109e-11, 2.000000000020233, 2.000000000027993, 3.0952380952596226, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 3.1746031746031744, 0.0, -4.210591342372898e-07, 1.7299014859676449e-12, -2.2416772478144913e-12, -3.9999999999636486, -3.1746031745606684, 3.08562710215554e-11, 2.000000000040311, 2.000000000055381, 3.174603174646896, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 3.253968253968254, 0.0, -6.501387272319747e-07, 1.517132400948024e-13, -9.739739239696123e-12, -3.999999999999426, -3.2539682539674413, 6.415526588091718e-13, 2.0000000000006324, 2.000000000000856, 3.2539682539691364, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 3.333333333333333, 0.0, -6.215150972411332e-07, 1.8391113046032385e-13, -5.151931551523487e-13, -3.9999999999989932, -3.3333333333320163, 9.77680967069619e-13, 2.0000000000011413, 2.0000000000015308, 3.3333333333346897, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 3.4126984126984126, 0.0, -2.7289292522102226e-07, 6.993654880077878e-14, 2.803527631814827e-12, -3.999999999999142, -3.412698412697392, 7.27850879187781e-13, 2.00000000000097, 2.00000000000133, 3.4126984126994424, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 3.492063492063492, 0.0, -8.448716076999717e-07, 6.289155164626773e-13, 5.909732060369659e-11, -3.9999999999887996, -3.4920634920504963, 9.157514027526076e-12, 2.0000000000126104, 2.000000000017464, 3.492063492076457, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 3.571428571428571, 0.0, 3.247413878653868e-07, 9.450463628752617e-12, 3.3456400795077005e-11, -3.9999999999302096, -3.5714285713437905, 5.955096346929889e-11, 2.0000000000801315, 2.000000000110014, 3.5714285715123495, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 3.6507936507936507, 0.0, -1.3728369426946172e-06, 5.939455325205059e-12, -5.7720788926272344e-11, -3.9999999999940807, -3.650793650783239, 7.10134243711293e-12, 2.000000000008055, 2.000000000010488, 3.650793650803212, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 3.73015873015873, 0.0, -1.0889961316008171e-07, 2.884336404554201e-13, 0.23658338957614944, -3.9999999999910583, -3.7301587301486476, 7.040893758791529e-12, 2.000000000010002, 2.0000000000139733, 3.730158730168774, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 3.8095238095238093, 0.0, 0.15884204957111195, 0.03755291898628064, 1.486043156546864, -4.00027805469381, -3.794679408575721, 0.007644200054985584, 2.006460215307712, 2.0076660571117917, 3.819052191125052, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 3.888888888888889, 0.0, 0.3595149399696079, 0.23587986611883827, 2.4666369600905798, -4.011165269478593, -3.803788900866956, 0.038775318752862074, 2.0332269651824686, 2.0387753250931917, 3.936828473834212, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 3.968253968253968, 0.0, 0.4224372071093925, 0.42908259519113456, 2.4057166665748473, -4.037584534031961, -3.8285276053264816, 0.05353596425618625, 2.046292752777548, 2.053535966089596, 4.033963241828024, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 4.0476190476190474, 0.0, 0.4177892140236059, 0.6177396544640521, 2.351519861382524, -4.079153455845573, -3.868500171796392, 0.05236434867871506, 2.045639617905136, 2.052364348837963, 4.111471404373363, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 4.1269841269841265, 0.0, 0.3447137587293832, 0.8023397160455035, 2.3029515724306524, -4.135530867238798, -3.923360475830538, 0.035648335739920316, 2.0312885584331486, 2.035648354680729, 4.170196108701712, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 4.2063492063492065, 0.0, 0.11112314303515373, 0.9832875231038382, 1.245259788889851, -4.20641114977779, -3.99278806832251, 0.003741137399077748, 2.0032935513359043, 2.00375176103942, 4.210859592720496, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 4.285714285714286, 0.0, -1.3468647775051901e-06, 0.9999999999962734, 0.10528860442084959, -4.285714285686096, -3.9999999999724167, 2.0994426923242647e-11, 2.0000000000292144, 2.000000000040431, 4.285714285743926, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 4.365079365079365, 0.0, -3.6850774828722325e-07, 0.9999999999960365, 2.2882196137885558e-11, -4.36507936506473, -3.999999999983745, 1.2155414371521912e-11, 2.0000000000160276, 2.000000000021619, 4.365079365096107, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 4.444444444444445, 0.0, 5.26047933964829e-07, 0.9999999999999055, 1.919824299534412e-11, -4.444444444444393, -3.9999999999998597, 9.769758086486788e-14, 2.0000000000000893, 2.000000000000104, 4.44444444444456, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 4.523809523809524, 0.0, -8.104449813508585e-07, 0.9999999999990838, -1.663479354263586e-11, -4.523809523808612, -3.9999999999981175, 1.396046775749309e-12, 2.000000000001325, 2.0000000000015663, 4.523809523811211, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 4.603174603174603, 0.0, -5.71994661951922e-07, 0.9999999999972651, -8.533174167268953e-14, -4.603174603142287, -3.9999999999671827, 2.5433982155016682e-11, 2.0000000000338902, 2.0000000000458633, 4.603174603209717, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 4.682539682539682, 0.0, -6.482092411006592e-07, 0.9999999999990703, 1.700899421308577e-11, -4.682539682530101, -3.999999999989914, 7.870304953528015e-12, 2.000000000010189, 2.000000000013575, 4.682539682550383, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 4.761904761904762, 0.0, 2.4892243793453254e-07, 0.9999999999999649, 5.708833406004033e-12, -4.761904761903043, -3.9999999999983964, 1.2508830369890891e-12, 2.0000000000017395, 2.000000000002401, 4.761904761906521, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 4.841269841269841, 0.0, -7.605502284288746e-08, 0.9999999999999765, -5.434652727842604e-13, -4.841269841268742, -3.9999999999989626, 8.099564107774445e-13, 2.0000000000011164, 2.000000000001536, 4.841269841270979, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 4.92063492063492, 0.0, -2.9513892189464084e-07, 0.9999999999998787, 3.567146578120628e-14, -4.920634920633863, -3.999999999998779, 9.827626487244645e-13, 2.0000000000011613, 2.000000000001462, 4.920634920636184, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 5.0, 0.0, -2.386830251195195e-07, 0.9999999999999821, 1.303757102277814e-12, -4.9999999999995905, -3.9999999999995888, 3.2644081130015e-13, 2.000000000000425, 2.000000000000566, 5.000000000000447, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.0, 0.0, -4.946382145491063e-07, 0.0, 1.3830451047045926e-13, -3.999999999991176, 3.740799021312517e-12, 1.0530546525126787e-11, 1.2196435528197478e-11, 2.0000000000134226, 2.0000000000197384, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.07936507936507936, 0.0, -6.5585129640079e-07, 1.0976548450036448e-14, 2.452253865069262e-13, -3.999999999989246, -0.0793650793527355, 7.766945705302188e-12, 0.07936507937722552, 2.000000000016785, 2.0000000000236446, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.15873015873015872, 0.0, -4.1534903328982117e-07, 3.892466452490892e-14, 1.1075535971839603e-12, -3.9999999999898836, -0.15873015871967963, 1.0053961772129853e-11, 0.15873015873993496, 2.000000000015723, 2.0000000000223563, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.23809523809523808, 0.0, -8.553058923215819e-07, 1.8677870673320474e-13, 3.0193229592392684e-12, -3.99999999997815, -0.238095238074777, 2.7745207659924896e-11, 0.23809523811231684, 2.0000000000291616, 2.0000000000534093, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.31746031746031744, 0.0, 2.3166266464869079e-07, 5.181822771025706e-13, -1.1427849595631899e-12, -3.9999999999560627, -0.31746031741864805, 5.6898043260454805e-11, 0.317460317492559, 2.000000000057473, 2.0000000001093157, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.3968253968253968, 0.0, 8.289784936876745e-07, 5.384268707301611e-15, -3.233866949564563e-12, -3.9999999999996003, -0.396825396824998, 4.84879622406964e-13, 0.3968253968256973, 2.0000000000005507, 2.0000000000009712, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.47619047619047616, 0.0, 6.834330899685205e-07, 4.870062885973252e-15, 3.436299520283428e-14, -3.99999999999945, -0.47619047618984633, 4.670254303066944e-13, 0.4761904761910161, 2.0000000000009015, 2.0000000000011906, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.5555555555555556, 0.0, 9.842555971754568e-07, 1.0838712390291179e-14, 9.917860399012781e-14, -3.9999999999992104, -0.555555555554679, 7.781740112677993e-13, 0.5555555555562299, 2.000000000001234, 2.000000000001794, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.6349206349206349, 0.0, 1.2647901175463411e-06, 2.0612698439961794e-14, 1.4225290539565126e-13, -3.9999999999988574, -0.6349206349193773, 1.215585356053492e-12, 0.634920634921504, 2.0000000000017293, 2.000000000002696, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.7142857142857142, 0.0, 1.4886029041982218e-06, 3.3418538643569156e-14, 1.610121322114283e-13, -3.9999999999986473, -0.7142857142842589, 1.61499354176124e-12, 0.7142857142865295, 2.0000000000019247, 2.0000000000033893, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.7936507936507936, 0.0, 1.6677042065765859e-06, 4.617017974336311e-14, 2.417466989238117e-13, -3.99999999999827, -0.7936507936488794, 2.011766920987786e-12, 0.7936507936518107, 2.0000000000025016, 2.000000000004391, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.873015873015873, 0.0, 1.8719783380008454e-06, 7.179103053623767e-14, 3.0462031179265556e-13, -3.99999999999782, -0.8730158730134635, 2.7047412075730166e-12, 0.8730158730168588, 2.0000000000031783, 2.0000000000056923, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
