J, B, T, O, m, chi, E0, E1, E2, E3, p0, p1, p2, p3, w1, w2, w3, w4, w5, w6, boundary 
0.13333333333333333, 0.6666666666666666, 0.0, 2.5461064317042204e-05, 1.9449854802066686e-11, -5.0092815442660336e-12, -1.99999999987898, -0.6666666664764902, 0.6666666668222653, 2.0000000002247544, 1.0, 0.0, 0.0, 0.0, 0.6327584497507323, 0.6666666666631571, 0.6666666666718151, 1.2994251164154258, 1.3333333333343933, 2.000000000004588, 0 
0.13333333333333333, 0.6666666666666666, 0.5, 1.3489237167998991e-05, 0.06016441624377005, 0.137401593825412, -1.9999999999660325, -0.6666666666132899, 0.6666666667103386, 2.0000000000630846, 0.9305382387895599, 0.06465700832337615, 0.004492592084136779, 0.0003121608029299424, 0.6372493650589018, 0.6665169891361605, 0.6666666666663048, 1.301986934356865, 1.3312545584340882, 2.0000000000010676, 0 
0.13333333333333333, 0.6666666666666666, 1.0, 3.7609617811532048e-06, 0.14363935819738413, 0.2265691807778506, -1.9999999999973614, -0.6666666666625174, 0.6666666666700615, 2.0000000000049014, 0.7399754262390887, 0.19505540463229418, 0.05141604643511661, 0.013553122693501634, 0.6481059734163725, 0.6653367107652601, 0.6666666666666508, 1.310160849113301, 1.327391586462187, 2.000000000000042, 0 
0.13333333333333333, 0.6666666666666666, 1.5, 1.0614592768146136e-06, 0.14676142450468646, 0.21999334387736544, -1.9999999999997886, -0.6666666666663351, 0.6666666666669381, 2.0000000000003917, 0.6062042371034049, 0.249218012430723, 0.10245658792604735, 0.04212116253982499, 0.6545225564926671, 0.6645771225416595, 0.6666666666666646, 1.3164487027477272, 1.3265032687967178, 2.0, 0 
0.13333333333333333, 0.6666666666666666, 2.0, 5.914796889286422e-07, 0.1306351039081378, 0.19444868595164844, -1.9999999999999334, -0.6666666666665628, 0.6666666666667518, 2.0000000000001226, 0.5229169557562792, 0.26847451691767726, 0.13783941300954203, 0.07076911431650133, 0.658030735055405, 0.6643645543767904, 0.6666666666666665, 1.3204545039134923, 1.3267883232348792, 1.9999999999999998, 0 
0.13333333333333333, 1.0, 0.0, -2.3015526718369887e-08, 1.767506318693024e-16, -1.811476871985322e-11, -1.9999999999999984, -1.0000000000000007, 1.0000000000000007, 2.0000000000000027, 1.0, 0.0, 0.0, 0.0, 0.46609178307929583, 0.5000000000000003, 0.9999999999999997, 1.4660917830792952, 1.499999999999999, 1.999999999999999, 0 
0.13333333333333333, 1.0, 0.5, 1.9786052737211235e-05, 0.11673029887200735, 0.2207596422287929, -1.9999999999327216, -0.9999999998770417, 1.0000000000858391, 2.0000000001415175, 0.8786191987383255, 0.11890817810513538, 0.00217787925125263, 0.00029474390529059496, 0.47419327349630375, 0.4999334688063835, 0.9999999999985066, 1.470366909719025, 1.4961071050290895, 2.0000000000030402, 0 
0.13333333333333333, 1.0, 1.0, 3.83466786835901e-06, 0.22151554819242683, 0.24173861605585248, -1.9999999999974731, -0.9999999999953806, 1.0000000000032263, 2.000000000005317, 0.6963874871949414, 0.25618663962752386, 0.03467109143547527, 0.012754781742059955, 0.4850295019025779, 0.499238395272921, 0.999999999999972, 1.4777335461675447, 1.4919424395378873, 2.0000000000000555, 0 
0.13333333333333333, 1.0, 1.5, 1.594436668771182e-06, 0.22004070921206248, 0.2192226507014273, -1.9999999999995617, -0.9999999999992019, 1.0000000000005584, 2.0000000000009175, 0.5819922788642606, 0.2988047991136299, 0.0787640899016101, 0.04043883212049905, 0.4903849646317988, 0.49868228369987716, 0.9999999999999959, 1.4831185721342468, 1.4914158912023239, 2.000000000000002, 0 
0.13333333333333333, 1.0, 2.0, 5.108235695897023e-07, 0.195115144991789, 0.19188837712294776, -1.999999999999955, -0.9999999999999166, 1.0000000000000588, 2.000000000000094, 0.5089068616592063, 0.30866761453443836, 0.11355246954265275, 0.06887305426370267, 0.4932164799040055, 0.49847430930990827, 0.9999999999999979, 1.4867615971964445, 1.492019426602346, 2.0000000000000004, 0 
0.13333333333333333, 1.3333333333333333, 0.0, 6.9268210234653405e-06, 7.37334232216454e-12, 3.222814681382377e-12, -1.999999999993343, -1.3333333333164354, 1.3333333333420385, 2.0000000000189457, 1.0, 0.0, 0.0, 0.0, 0.29942511641421093, 0.3333333333345211, 1.333333333332459, 1.6327584497464809, 1.6666666666667855, 2.000000000001302, 0 
0.13333333333333333, 1.3333333333333333, 0.5, 3.171316583125896e-07, 0.20733751106296533, 0.3327905505369456, -1.999999999999987, -1.333333333333294, 1.3333333333333537, 2.0000000000000435, 0.7903856012417343, 0.20834338249518822, 0.0010058714322325037, 0.0002651448308488429, 0.3135672057026337, 0.3333072797017357, 1.333333333333332, 1.640036841001631, 1.6597769150007338, 2.0000000000000027, 0 
0.13333333333333333, 1.3333333333333333, 1.0, 4.565032193919183e-06, 0.30479843556795244, 0.25648472804715444, -1.9999999999971116, -1.3333333333259978, 1.3333333333371111, 2.0000000000082254, 0.637996486356966, 0.3275583179768532, 0.022759882409848567, 0.011685313256333048, 0.322788138257734, 0.3329503265676186, 1.3333333333332598, 1.6459907834286904, 1.6561529717385737, 2.0000000000001052, 0 
0.13333333333333333, 1.3333333333333333, 1.5, 1.1831106207782494e-06, 0.292909858305638, 0.2171782033664266, -1.9999999999998035, -1.333333333332841, 1.3333333333335866, 2.0000000000005542, 0.5497429816428616, 0.35248441850634193, 0.05957456020074566, 0.038198039650050156, 0.3266436919156437, 0.3326007378955255, 1.3333333333333328, 1.6502302143066185, 1.6561872602864995, 2.0000000000000044, 0 
0.13333333333333333, 1.3333333333333333, 2.0, 6.2429514713358e-07, 0.2585606886567696, 0.18820907223971264, -1.9999999999999463, -1.3333333333331958, 1.3333333333334032, 2.0000000000001568, 0.49001779923136607, 0.35111309588771994, 0.09255240723095888, 0.06631669764995513, 0.3286323991636913, 0.33243947255209033, 1.3333333333333313, 1.6533575638043283, 1.6571646371927264, 1.9999999999999991, 0 
0.13333333333333333, 1.6666666666666665, 0.0, 1.5700538052344651e-06, 2.148719871553454e-12, 0.7480947130600807, -1.9999999999998854, -1.6666666666651075, 1.6666666666669128, 2.00000000000169, 1.0, 0.0, 0.0, 0.0, 0.132758449746642, 0.16666666666721866, 1.6666666666661742, 1.7994251164127995, 1.833333333333377, 2.0000000000005107, 0 
