J, B, T, O, m, chi, E0, E1, E2, E3, E4, E5, p0, p1, p2, p3, p4, p5, boundary 
0.2, 0.0, 0.0, 1.5339569955467869e-06, 0.0, 7.249607357012018e-13, -3.999999999998789, 6.047569137112697e-13, 1.4769817525722381e-12, 1.5408552122575567e-12, 2.0000000000015676, 2.000000000002659, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.2, 0.3333333333333333, 0.0, 6.871054324410729e-06, 2.416535785670673e-13, 1.2546748536924417e-14, -3.9999999999769607, -0.33333333331116777, 2.8698529787415687e-11, 0.33333333335109666, 2.0000000000291642, 2.000000000052271, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.2, 0.6666666666666666, 0.0, 8.691557353369371e-07, 8.364499024616278e-15, -1.4260459441337406e-13, -3.9999999999991904, -0.6666666666657349, 6.914384248081811e-13, 0.6666666666674392, 2.000000000001245, 2.0000000000016502, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.2, 1.0, 0.0, 2.9125424123820607e-06, 1.4658384895815124e-13, 2.328198612046122e-12, -3.9999999999941314, -0.9999999999932673, 6.060611165549691e-12, 1.0000000000037108, 2.000000000008695, 2.000000000013461, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.2, 1.3333333333333333, 0.0, 7.795492422546155e-06, 1.5604969070553642e-12, -2.1219464302968864e-13, -3.999999999950049, -1.333333333273068, 4.763153049448074e-11, 1.3333333333553146, 2.0000000000780145, 2.0000000001237286, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.2, 1.6666666666666665, 0.0, 3.546547487671344e-07, 5.120753605025484e-15, -2.294571812474202e-12, -3.999999999999935, -1.6666666666665872, 8.410726854338199e-14, 1.6666666666665548, 2.0000000000000897, 2.000000000000299, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.2, 2.0, 0.0, -1.828905224053236e-07, 3.078236540589614e-14, 3.2135345107803243e-13, -3.9999999999991465, -1.9999999999989058, 6.461388416364428e-13, 1.9999994736540934, 2.0000000000015565, 2.000000526348332, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.2, 2.333333333333333, 0.0, -2.0930171986364564e-07, 2.193563876570471e-13, -3.397205178154921e-14, -3.999999999994003, -2.333333333325534, 4.065586915189256e-12, 2.000000000004633, 2.0000000000120197, 2.333333333345073, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.2, 2.6666666666666665, 0.0, 2.2754055853520952e-07, 8.134330884863336e-15, 1.129981320537485e-13, -3.999999999999949, -2.666666666666592, 5.0112451958471334e-14, 2.0000000000000298, 2.000000000000093, 2.6666666666667815, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.2, 3.0, 0.0, 3.4689031480244326e-07, 2.9468847569287944e-13, 6.015623748625243e-14, -3.999999999999532, -2.9999999999989924, 7.817710871440502e-13, 2.000000000000325, 2.000000000000909, 3.0000000000014735, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.2, 3.333333333333333, 0.0, 2.9245687605487504e-07, 4.823848920903162e-14, 0.17077933739430215, -3.9999999999999605, -3.33333333333323, 6.502174204050977e-14, 2.0000000000000595, 2.0000000000001017, 3.3333333333334516, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.2, 3.6666666666666665, 0.0, 0.27709970338882256, 0.11385289159649611, 0.7645363338223581, -4.005095874736064, -3.578331771002766, 0.04607054981885463, 2.0307002886734815, 2.0460705512950073, 3.737009554892294, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.2, 4.0, 0.0, 0.45005579670247303, 0.5096908892149535, 1.1371405704045028, -4.110197221907489, -3.668988944622046, 0.12153013209953403, 2.0900442816466627, 2.121530132107145, 4.175262413274422, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.2, 4.333333333333333, 0.0, 0.307750513970004, 0.871946605199498, 0.7354636657778325, -4.341196813847914, -3.8883832798170817, 0.056826230582824974, 2.044648381304763, 2.056826232554687, 4.412236632748669, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.2, 4.666666666666666, 0.0, 7.86622484836544e-06, 0.9999999997335085, 0.1920800922006648, -4.666666666548255, -3.999999999519229, 3.051462048759933e-10, 2.000000000277934, 2.0000000003543588, 4.666666667094569, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
0.2, 5.0, 0.0, 4.782503409407967e-07, 0.9999999999999412, 7.992979611515239e-10, -4.999999999999894, -3.999999999999776, 1.5678839588727788e-13, 2.0000000000001634, 2.000000000000211, 5.000000000000229, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1 
1.0, 0.0, 0.0, 0.6340384855867396, 0.0, 5.430899638319339e-15, -4.030056647915996, -0.03005480808088582, 1.2060144036151241, 1.2060144036158869, 3.2060144036158915, 5.678154666843023, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
1.0, 0.3333333333333333, 0.0, 0.6340396378035085, 1.8102998794397797e-15, 1.081859010816968e-15, -4.030056647913935, -0.030052184628519583, 0.8726854535850158, 1.5393521202514215, 3.206018786918797, 5.678165193296439, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
1.0, 0.6666666666666666, 0.0, 0.6340377984127625, 7.212393405446453e-16, -1.0260777409778711e-15, -4.0300566479164575, -0.030056372683496507, 0.5393451227817556, 1.872678456114966, 3.2060117894484703, 5.678148388944843, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
1.0, 1.0, 0.0, 0.634038108609782, 1.126248052121199e-15, 0.19648123259857708, -4.030056647916353, -0.030055666407303054, 0.2060129695086864, 2.2060129695083637, 3.2060129695085924, 5.678151222848691, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
1.0, 1.3333333333333333, 0.0, 0.6862254950854559, 0.1309874883990521, 0.25437473007176387, -4.113408604136984, -0.2711558548449207, 1.4127162902935055, 1.7247658141826814, 3.4127162903925115, 6.310663806123235, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
1.0, 1.6666666666666665, 0.0, 0.7018027853667607, 0.16958315338117705, 0.11872623303087536, -4.1634445968139735, -0.36542587812894556, 1.4775814486455423, 1.8998623246906123, 3.4775814486458088, 6.539333944835006, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
1.0, 2.0, 0.0, 0.7146301564609582, 0.21013831041963568, 0.12414055210813009, -4.226681596905603, -0.4679112184298211, 1.5320887815701116, 2.0636051127087596, 3.532088781570651, 6.759342828907974, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
1.0, 2.333333333333333, 0.0, 0.7241568682755258, 0.2523435214532638, 0.1286983038656752, -4.303719958955344, -0.5796250805868151, 1.5732095096119116, 2.2117610625972643, 3.5732095096121395, 6.9644220153923895, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
1.0, 2.6666666666666665, 0.0, 0.7300978518565415, 0.29593717966341915, 0.1325417855170173, -4.395064715780519, -0.7016818448108343, 1.5991286198566206, 2.3420837709796376, 3.5991286198572543, 7.1511772690384765, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
1.0, 3.0, 0.0, 0.7322822172178233, 0.340704711797942, 0.1358018626048597, -4.501141694650485, -0.8351081909542757, 1.608711736960205, 2.4533478041575436, 3.6087117369609385, 7.317749029289066, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
1.0, 3.333333333333333, 0.0, 0.7305788489094347, 0.3864717547333256, 0.13858744380086754, -4.62231212752014, -0.9807803689535114, 1.6012363634214861, 2.544886026806937, 3.6012363634215903, 7.463151923352774, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
1.0, 3.6666666666666665, 0.0, 0.7248502486782429, 0.43309634099852035, 0.14098586559864387, -4.758884719480174, -1.1394391045539942, 1.576223649026759, 2.6163378440438163, 3.5762236490271593, 7.586880576097465, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
1.0, 4.0, 0.0, 0.7149237971520643, 0.4804623317990882, 0.1430655059855213, -4.911125301665611, -1.3117073746963428, 1.5333481072016386, 2.667518933998009, 3.533348107223776, 7.688706171187589, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
1.0, 4.333333333333333, 0.0, 0.7005711545914453, 0.5284733449888679, 0.1448817534799872, -5.079264479766609, -1.4980900071700494, 1.4723998279397252, 2.698360048925411, 3.4723998279690402, 7.7685937497715205, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0 
