J, B, T, O, m, chi, E0, E1, E2, p0, p1, p2, w1, w2, boundary 
0.2, 0.0, 0.0, -7.1782895387183436e-06, 0.0, 2.607739301229373e-12, -1.999999999954899, 0.9999958875654517, 1.0000041125585746, 1.0, 0.0, 0.0, 1.7888553015837345, 1.7888534624189876, 1 
0.2, 0.3333333333333333, 0.0, -7.2027465133108265e-06, 8.692464337431243e-13, 3.3310240780494534e-12, -1.9999999999543565, 0.6666666667045845, 1.3333333334214745, 1.0, 0.0, 0.0, 2.0110766042255315, 1.566632159777361, 1 
0.2, 0.6666666666666666, 0.0, -7.45371997001382e-06, 2.2206827186996356e-12, 7.633869648284847e-12, -1.9999999999465214, 0.333333333394531, 1.6666666667551744, 1.0, 0.0, 0.0, 2.23329882644738, 1.3444099375566432, 1 
0.2, 1.0, 0.0, -9.684991333664196e-06, 5.9584928659330225e-12, -2.888004785386214e-12, -1.999999999917906, 1.0592858053377791e-10, 2.000000000129765, 1.0, 0.0, 0.0, 2.455521048671242, 1.1221877153354136, 1 
0.2, 1.3333333333333333, 0.0, -8.808730516847339e-07, 2.953461951088263e-13, -5.759498167928569e-12, -1.999999999997591, -0.33333333332990733, 2.3333333333371282, 1.0, 0.0, 0.0, 2.6777432708888833, 0.8999654931110805, 1 
0.2, 1.6666666666666665, 0.0, -2.8791146574213517e-06, 2.11882742064731e-12, 2.8278348314871503e-11, -1.999999999990284, -0.6666666666511489, 2.6666666666824455, 1.0, 0.0, 0.0, 2.899965493111856, 0.6777432708896928, 1 
0.2, 2.0, 0.0, -6.253739445490918e-06, 1.9147578405023162e-11, 1.8821999152289964e-11, -1.999999999957452, -0.9999999999185565, 3.0000000000754588, 1.0, 0.0, 0.0, 3.122187715340072, 0.45552104867509324, 1 
0.2, 2.333333333333333, 0.0, 3.473904348660633e-07, 1.4666826855507286e-11, 6.848203000413489e-08, -1.9999999999890998, -1.3333333333027457, 3.333333333358067, 1.0, 0.0, 0.0, 3.3444099375600724, 0.23329882645071046, 1 
0.2, 2.6666666666666665, 0.0, 0.00018782541958270126, 4.5673834247828284e-08, 0.7467571687837619, -1.999999999201015, -1.6666666353689248, 3.6666666854953434, 1.0, 0.0, 0.0, 3.5666321732388955, 0.011076614313712539, 1 
0.2, 3.0, 0.0, 0.4788538606080653, 0.4978381125371747, 1.4999999207716215, -2.0830718395322587, -1.7424015400643702, 4.1006317815362845, 1.0, 0.0, 0.0, 3.9296670564334244, 0.10471984600507583, 1 
0.2, 3.333333333333333, 0.0, 7.92290532557984e-05, 0.9999999928549151, 0.7532428309502062, -2.333333333188507, -1.9999999951217184, 4.333333336209717, 1.0, 0.0, 0.0, 4.23504875602258, 0.012826533997555933, 1 
0.2, 3.6666666666666665, 0.0, -1.3974804874626026e-05, 0.9999999998373121, 1.0710484998899261e-08, -2.666666666545962, -1.9999999996668747, 4.666666666924132, 1.0, 0.0, 0.0, 4.680767410877706, 0.2363229664579018, 1 
0.2, 4.0, 0.0, -3.426581211286914e-06, 0.9999999999952385, 2.125756237703058e-10, -2.9999999999898046, -1.9999999999806513, 5.000000000016629, 1.0, 0.0, 0.0, 5.126181342088401, 0.45951467542243196, 1 
0.2, 4.333333333333333, 0.0, -7.275991635060167e-06, 0.9999999999790292, 6.931122342734852e-13, -3.3333333332454824, -1.9999999998595022, 5.333333333460949, 1.0, 0.0, 0.0, 5.571388284332234, 0.6824993954463721, 1 
0.2, 4.666666666666666, 0.0, -4.5575936321097085e-06, 0.9999999999957006, 3.02201597079943e-11, -3.6666666666371857, -1.999999999957307, 5.666666666706756, 1.0, 0.0, 0.0, 6.016448182867979, 0.9053370717574696, 1 
0.2, 5.0, 0.0, -2.5796764808265325e-06, 0.999999999999176, 1.042632646885977e-11, -3.99999999999166, -1.9999999999886784, 6.000000000010862, 1.0, 0.0, 0.0, 6.461399858868938, 1.1280665255357125, 1 
1.0, 0.0, 0.0, 0.6144937045233898, 0.0, 0.09513527602712407, -2.0664635958519564, 1.5125386011718511, 2.819538383452953, 1.0, 0.0, 0.0, 2.952639391646066, 1.5297425084212746, 0 
1.0, 0.3333333333333333, 0.0, 0.6183344590238948, 0.031711758675708024, 0.09839534140225721, -2.0717168364395064, 1.4629330424893376, 2.9028073504185556, 1.0, 0.0, 0.0, 2.9911025653528207, 1.5414555978978932, 0 
1.0, 0.6666666666666666, 0.0, 0.6286627891995918, 0.06559689426817147, 0.10729303796760262, -2.087848733250914, 1.3418770423724955, 3.1172803549880697, 1.0, 0.0, 0.0, 3.1000637292017568, 1.5714811989543496, 0 
1.0, 1.0, 0.0, 0.6426917202300754, 0.10324045065410976, 0.11985385055342078, -2.1158687129763085, 1.1898142754170034, 3.4043711649403248, 1.0, 0.0, 0.0, 3.264062143096349, 1.6084524120692056, 0 
1.0, 1.3333333333333333, 0.0, 0.6573439863161386, 0.14549946130378533, 0.13421047355494364, -2.157190513226743, 1.0257966984273514, 3.7240014505131427, 1.0, 0.0, 0.0, 3.4655781763469147, 1.64112607090689, 0 
1.0, 1.6666666666666665, 0.0, 0.6700791301765971, 0.19271409969073885, 0.1491945748976403, -2.213419911746034, 0.8543299536951175, 4.053126805323809, 1.0, 0.0, 0.0, 3.689689199901462, 1.6614525801585711, 0 
1.0, 2.0, 0.0, 0.6789669860909358, 0.24496251123554552, 0.16428909772623593, -2.2862261529821493, 0.6742169124531533, 4.37798076972406, 1.0, 0.0, 0.0, 3.925181215430218, 1.6642461423961143, 0 
1.0, 2.333333333333333, 0.0, 0.6824931280303096, 0.3022401648415628, 0.1794088602996273, -2.3772869324907995, 0.4824426478946529, 4.689625902476414, 1.0, 0.0, 0.0, 4.163978644290148, 1.6460049629893796, 0 
1.0, 2.6666666666666665, 0.0, 0.6793297155106822, 0.3645684181019637, 0.19474318625074513, -2.4882804073238316, 0.27552353855105505, 4.981689475472928, 1.0, 0.0, 0.0, 4.400162693481097, 1.6038902883081854, 0 
1.0, 3.0, 0.0, 0.6680685353274786, 0.4320689556753929, 0.21070892041954614, -2.620906633392804, 0.04975988242171778, 5.249040341283507, 1.0, 0.0, 0.0, 4.629037143870387, 1.5349361608638155, 0 
1.0, 3.333333333333333, 0.0, 0.6469534441607531, 0.5050410317149945, 0.22802558494015793, -2.776933237543941, -0.19879665094442037, 5.487022926559167, 1.0, 0.0, 0.0, 4.846344062781717, 1.4353446992683732, 0 
1.0, 3.6666666666666665, 0.0, 0.6134191917222256, 0.5840860123021648, 0.24803714261520948, -2.958273362949519, -0.4747527356530041, 5.690714998604977, 1.0, 0.0, 0.0, 5.047412720392813, 1.2994827022453914, 0 
1.0, 4.0, 0.0, 0.5630620797591884, 0.6703991267918008, 0.2738080372300373, -3.1671273707702996, -0.7844302424645104, 5.853786759512051, 1.0, 0.0, 0.0, 5.225795465148937, 1.1178201586725185, 0 
1.0, 4.333333333333333, 0.0, 0.4866492252817816, 0.7666247037888564, 0.3163607344354941, -3.4062932285514544, -1.1386595473166627, 5.9659107248051235, 1.0, 0.0, 0.0, 5.369852645370143, 0.8710876343474387, 0 
1.0, 4.666666666666666, 0.0, 0.35400338109060797, 0.8813062830821302, 0.35006294430588175, -3.6801558831337036, -1.5677867575009632, 5.999853513866182, 1.0, 0.0, 0.0, 5.446076036670458, 0.5009277444942025, 0 
