J, B, T, O, m, chi, E0, E1, E2, p0, p1, p2, boundary 
0.1, 0.0, 0.0, 5.303386265703355e-06, 0.0, 3.1166863970074525e-12, -1.9999999998777973, 0.9999954871560727, 1.0000045131290656, 1.0, 0.0, 0.0, 0 
0.1, 0.0, 0.5, 4.27042141283758e-06, 0.0, 0.010601274616110322, -1.9999999998857265, 0.9999956359902373, 1.000004364276402, 0.9950669512572846, 0.002466545899888294, 0.0024665028428272045, 0 
0.1, 0.0, 1.0, 3.297504876536607e-06, 0.0, 0.09177730659591624, -1.999999999936552, 0.9999967482349321, 1.0000032519131103, 0.9094429985131761, 0.04527864798180995, 0.045278353505012726, 0 
0.1, 0.0, 1.5, 1.8027815243508438e-06, 0.0, 0.14242878853069812, -1.9999999999751195, 0.9999979636359767, 1.0000020364220807, 0.7869860421619079, 0.10650712351242748, 0.10650683432566499, 0 
0.1, 0.0, 2.0, 1.1843317333348063e-06, 0.0, 0.1543330897124808, -1.9999999999898141, 0.9999986970679211, 1.0000013029558472, 0.6914384540363634, 0.15428087349141914, 0.15428067247221736, 0 
0.1, 0.3333333333333333, 0.0, 4.85528364333257e-06, 1.0388954656691508e-12, 3.760819466790204e-12, -1.9999999998770432, 0.6666666667803895, 1.3333333335070805, 1.0, 0.0, 0.0, 0 
0.1, 0.3333333333333333, 0.5, 4.455649883933557e-06, 0.003533758205370107, 0.012994570060113168, -1.9999999998764242, 0.6666666667809618, 1.3333333335079556, 0.9939364076580552, 0.004798675273310621, 0.0012649170686387652, 0 
0.1, 0.3333333333333333, 1.0, 3.216546759287481e-06, 0.03059243553197208, 0.09542312268191779, -1.9999999999369513, 0.666666666724979, 1.3333333334224244, 0.9048484493443172, 0.06287199309434126, 0.032279557561340176, 0 
0.1, 0.3333333333333333, 1.5, 1.7825810162287042e-06, 0.04747626284356604, 0.14365847529835873, -1.99999999997539, 0.666666666689428, 1.3333333333681088, 0.7828515806207985, 0.13231234111176346, 0.08483607826743765, 0 
0.1, 0.3333333333333333, 2.0, 1.2765568121733337e-06, 0.0514443632374936, 0.1544809675552888, -1.9999999999900129, 0.6666666666759025, 1.3333333333474444, 0.6884810790623707, 0.18148164208773646, 0.1300372788498922, 0 
0.1, 0.6666666666666666, 0.0, 6.345779967839929e-06, 2.507212977860136e-12, 6.174425191182899e-12, -1.9999999998631575, 0.333333333478895, 1.666666666843064, 1.0, 0.0, 0.0, 0 
0.1, 0.6666666666666666, 0.5, 4.869450968386993e-06, 0.008663046706742112, 0.021175812141918788, -1.9999999998750597, 0.33333333346623284, 1.6666666668277186, 0.9900431807473417, 0.009309932978690703, 0.0006468862739759841, 0 
0.1, 0.6666666666666666, 1.0, 3.1963236791325567e-06, 0.06361541512127852, 0.10626262847713035, -1.9999999999365325, 0.3333333334008437, 1.6666666667484782, 0.890842009656509, 0.08638670273232375, 0.02277128761116892, 0 
0.1, 0.6666666666666666, 1.5, 1.8478757098415802e-06, 0.09577231686557248, 0.147204906614159, -1.999999999976207, 0.3333333333586406, 1.6666666666973364, 0.7705071930681846, 0.16263256189879016, 0.06686024503302455, 0 
0.1, 0.6666666666666666, 2.0, 1.1184445785957647e-06, 0.10298731170352587, 0.15488030197036615, -1.9999999999901485, 0.33333333334381304, 1.6666666666793684, 0.6796789063657152, 0.21165420266896517, 0.10866689096531973, 0 
0.1, 1.0, 0.0, 6.671471769191181e-06, 5.15517892645775e-12, 5.010148817437587e-12, -1.9999999998373266, 1.8329528896665138e-10, 2.0000000002039195, 1.0, 0.0, 0.0, 0 
0.1, 1.0, 0.5, 5.31596130043735e-06, 0.017650966299982633, 0.03841522449190422, -1.9999999998609224, 1.5670679361910914e-10, 2.000000000174335, 0.9816903928261533, 0.017980286734909475, 0.0003293204389408885, 0 
