J, B, T, O, m, chi, E0, E1, E2, p0, p1, p2, w1, w2, boundary 
0.01, 0.0, 0.0, 8.855384707025238e-06, 0.0, 6.2400359946441774e-15, -1.9999999999985798, 0.9999998532922245, 1.0000001467106603, 1.0, 0.0, 0.0, 1.996663885392574, 1.9966638831066137, 0 
0.01, 0.0, 0.5, 2.0625980121591336e-05, 0.0, 0.009906962569892748, -1.9999999999934925, 0.999999686019939, 1.0000003139932716, 0.995066951257284, 0.002466525920269283, 0.002466522822446224, 1.9966885929906582, 1.9966885881138374, 0 
0.01, 0.0, 1.0, 2.277327993908257e-07, 0.0, 0.09062623815334764, -1.9999999999999551, 0.9999999740803133, 1.000000025919777, 0.9094429985127416, 0.045278501917235654, 0.04527849957002246, 1.9971173744736583, 1.997117374109057, 0 
0.01, 0.0, 1.5, 5.103000030384774e-07, 0.0, 0.1420332140543813, -1.999999999999988, 0.9999999870216936, 1.000000012978329, 0.7869860421615982, 0.1065069798407217, 0.10650697799767982, 1.9977304488150482, 1.9977304486652119, 0 
0.01, 0.0, 2.0, -6.949170000183219e-07, 0.0, 0.15428377963074558, -1.999999999999969, 0.9999999782949203, 1.0000000217051437, 0.6914384540362276, 0.15428077465622683, 0.15428077130754544, 1.9982086722845833, 1.998208672080714, 0 
0.01, 0.07936507936507936, 0.0, -2.5791130639340326e-06, 4.952409519558871e-16, 1.818795392260636e-15, -1.9999999999972238, 0.9206349206374743, 1.0793650793681615, 1.0, 0.0, 0.0, 2.0495739371596446, 1.94375383133954, 0 
0.01, 0.07936507936507936, 0.5, -1.8648307955025645e-06, 0.0007862668706264085, 0.010030139551354815, -1.9999999999943825, 0.9206349206400872, 1.0793650793713174, 0.9950049870033306, 0.002890639933649301, 0.0021043730630185683, 2.049597639321934, 1.9437801631460705, 0 
0.01, 0.07936507936507936, 1.0, -1.184127202333296e-07, 0.007192558583599018, 0.09083390732464369, -1.9999999999999951, 0.9206349206349257, 1.079365079365084, 0.9091835623734372, 0.04900449810508119, 0.04181193952148211, 2.0500167064921633, 1.944220645514164, 0 
0.01, 0.07936507936507936, 1.5, 5.090517389561011e-08, 0.011272477305903278, 0.1421048477467336, -2.0000000000000004, 0.920634920634921, 1.0793650793650793, 0.7867514068890393, 0.11226053520843213, 0.1009880579025289, 2.0506228489093603, 1.9448404038784692, 0 
0.01, 0.07936507936507936, 2.0, 2.5075967239676644e-06, 0.012244744415138537, 0.15429277006035183, -1.9999999999999056, 0.9206349206350075, 1.0793650793651848, 0.6912704902206358, 0.16048712709725194, 0.14824238268211207, 2.0510991235775715, 1.945319907148338, 0 
