J, B, T, Ox, Oy, Oz, p1, p2, p3, p4, p5, p6, m, chi
0.14266666666666666, 1.0, 0.5, 5.359097675623585e-07, 1.0371804223161468e-07, 2.874678474758612e-07, 0.9971363210495863, 0.0024716538262347407, 0.0003345019706363343, 4.52699189392751e-05, 6.126617301745062e-06, 6.126617301744726e-06, 0.002426383907296172, 0.003981431133477791
0.14266666666666666, 1.3333333333333333, 0.1, 1.2113273683265514e-07, 5.8738418969989944e-08, 1.191332941913953e-07, 0.9999999999973764, 2.6230937696623893e-12, 4.248354255280435e-18, 6.880620924460088e-24, 8.756510762673545e-27, 8.756510762672924e-27, 2.6232765739353706e-12, 8.094942862445299e-12
0.14266666666666666, 1.3333333333333333, 0.5, 1.284088337237207e-07, 6.868125183066778e-08, 1.1372439437483394e-08, 0.994827879758039, 0.004802979255941192, 0.0003337275748543165, 2.3188543669093755e-05, 6.11243374824467e-06, 6.112433748244664e-06, 0.004779790712272097, 0.00753090177592296
0.14266666666666666, 1.6666666666666665, 0.1, 1.6307241079900094e-07, 8.852174004278451e-08, 0.0, 0.9999999999264964, 7.352958060913185e-11, 4.2483542549792716e-18, 2.454592250667456e-25, 8.756510762052822e-27, 8.756510762052792e-27, 7.352958060913161e-11, 2.2690017291262796e-10
0.14266666666666666, 1.6666666666666665, 0.5, 2.5997283094759266e-07, -1.100728145637329e-07, -1.6156347050684941e-07, 0.9903311191044705, 0.009312640625191087, 0.000332219079708419, 1.1851581239348919e-05, 6.084804695887006e-06, 6.084804695886744e-06, 0.009300789043952214, 0.014467194661376373
0.14266666666666666, 2.0, 0.1, 3.4805057087892305e-06, 3.2047811763127676e-08, 3.6821031654068826e-09, 0.9999999979388424, 2.0611536181901955e-09, 4.248354246535033e-18, 8.756510903993617e-27, 8.756510744648002e-27, 8.756510585302392e-27, 2.061153618558134e-09, 6.360396921436808e-09
0.14266666666666666, 2.0, 0.5, 2.324285610806002e-06, -2.0689780845130218e-08, 1.4546869236793958e-07, 0.9816726293191833, 0.017979961385564267, 0.00032931447997137985, 6.0316059632396524e-06, 6.031605095987079e-06, 6.0316042287345974e-06, 0.017973929780468825, 0.027754050356853154
0.14266666666666666, 2.333333333333333, 0.1, -1.2759219693274116e-08, -5.973295734847961e-08, -4.715223606882833e-08, 0.999999942222492, 5.7777481855952826e-08, 4.248354009832373e-18, 8.756510256767677e-27, 8.75651025676746e-27, 3.123796886450624e-28, 5.7777481946930524e-08, 1.7829225065079167e-07
0.14266666666666666, 2.333333333333333, 0.5, 1.0913375205690717e-05, 1.2623173625063343e-08, -1.6148358362873592e-07, 0.9652277672279901, 0.03443352894667431, 0.0003237978433187747, 5.930564371177812e-06, 5.9305643711776195e-06, 3.0448532736872284e-06, 0.0344304840934016, 0.05266097380138489
0.14266666666666666, 2.6666666666666665, 0.1, -3.5506392339419886e-08, 2.6432962035927727e-08, 0.0, 0.9999983804058468, 1.6195941692231058e-06, 4.248347374681855e-18, 8.756496580702825e-27, 8.756496580702793e-27, 1.1143813529918855e-29, 1.619594169223108e-06, 4.997813399283768e-06
0.14266666666666666, 2.6666666666666665, 0.5, 1.331255555696577e-07, -3.493487648280898e-08, -3.3641680454745687e-09, 0.9347254819215594, 0.0649479524298062, 0.000313565466532848, 5.743151852993117e-06, 5.743151852993114e-06, 1.5138783922130173e-06, 0.06494643855141395, 0.09765105426563951
0.14266666666666666, 3.0, 0.1, 3.079746489478754e-07, 7.006812483960828e-08, -4.209792306124736e-08, 0.9999546021312806, 4.539786870243395e-05, 4.248161389062891e-18, 8.756113235770819e-27, 8.756113235770631e-27, 3.975269258963464e-31, 4.539786870264591e-05, 0.00014009047850695297
0.14266666666666666, 3.0, 0.5, -1.1680239952321925e-07, -1.0357408255042748e-09, -1.1174608561926511e-08, 0.8805267293991043, 0.11916633432063631, 0.000295383810582627, 5.410143208209637e-06, 5.41014320820962e-06, 7.321832634336879e-07, 0.11916560213737291, 0.1735013234750687
0.14266666666666666, 3.333333333333333, 0.1, -1.4270598159115268e-07, 3.55118217688494e-08, -5.907619958220804e-08, 0.9987289837369261, 0.0012710162630813527, 4.2429545279417625e-18, 8.74538109510932e-27, 8.745381095108948e-27, 1.4163991169190318e-32, 0.0012710162630823025, 0.003921978862014902
0.14266666666666666, 3.333333333333333, 0.5, -2.3429318700093384e-07, -2.018127226506519e-08, -9.802277980765896e-08, 0.7911734687177396, 0.20855106210708743, 0.0002654091309427969, 4.861137800121055e-06, 4.8611378001210264e-06, 3.3776863122202634e-07, 0.20855072433845764, 0.2860323910434711
0.14266666666666666, 3.6666666666666665, 0.1, 1.585191211443942e-06, 3.255842189261797e-08, 2.4457802849855284e-08, 0.9655548043337748, 0.03444519566621059, 4.102018861708721e-18, 8.454891036122362e-27, 8.454891036122004e-27, 4.885023416580435e-34, 0.034445195666211174, 0.10615737409001239
0.14266666666666666, 3.6666666666666665, 0.5, 8.683118606317257e-08, 9.391824266984141e-08, -5.478711654858925e-08, 0.6606044802365835, 0.3391656490630873, 0.00022160811494433645, 4.0588942081335775e-06, 4.058894208133568e-06, 1.447969649781578e-07, 0.3391655042661235, 0.4179672957685308
0.14266666666666666, 4.0, 0.1, 0.3795428833664811, -3.303685098056067e-07, -1.1477294109362328e-08, 0.5000000569960388, 0.49999994300394485, 2.124177127645789e-18, 4.378255381348269e-27, 4.37825538134816e-27, 9.024256939226999e-36, 0.4999999999999916, 1.4897753738680974
0.14266666666666666, 4.0, 0.5, 5.136661949212227e-07, 2.862654058595719e-08, 5.739945883745588e-09, 0.49991305123209473, 0.4999130472210223, 0.00016770214521629896, 3.0715719326477877e-06, 3.0715719326477818e-06, 5.6257802339148216e-08, 0.49991299296875624, 0.5143919638484247
0.14266666666666666, 4.333333333333333, 0.1, 7.329376275768502e-07, 8.121176325528887e-08, -4.5677500222027545e-08, 0.9655548043337944, 0.034445195666211285, 1.4633539358289978e-19, 3.016197265743656e-28, 3.0161972657436134e-28, 2.2177972000084684e-38, 0.9655548043337926, 1.4897753738681632
0.14266666666666666, 4.333333333333333, 0.5, 4.6642584527545675e-07, -9.472938526588439e-08, -6.793157644707905e-09, 0.660678414044308, 0.3392036079456508, 0.00011379013371546128, 2.084138998233163e-06, 2.0841389982331622e-06, 1.9598331435896122e-08, 0.6606783944459769, 0.514449284727106
0.14266666666666666, 4.666666666666666, 0.1, 1.272816971127329e-07, 1.542962962323479e-08, -8.497088206222481e-09, 0.9987289837369014, 0.0012710162630813484, 5.399727349806473e-21, 1.1129667587234378e-29, 1.1129667587234142e-29, 2.9194161706564687e-41, 0.998728983736902, 0.1061573740899501
0.14266666666666666, 4.666666666666666, 0.5, 2.4155302903402544e-07, 1.0536313072276137e-09, -2.8129508435735264e-08, 0.7913340613695125, 0.20859339387049752, 6.997528807090106e-05, 1.2816421074417733e-06, 1.28164210744177e-06, 6.1877040047176365e-09, 0.7913340551818084, 0.41809811435466104
0.14266666666666666, 5.0, 0.1, 3.8122550851376474e-06, -1.0616818789445948e-07, 3.9598171372212767e-08, 0.9999546021312868, 4.539786870243327e-05, 1.9286622868315058e-22, 3.9752692589634185e-31, 3.9752692589633336e-31, 3.719907092500021e-44, 0.9999546021312866, 0.003921978862030784
0.14266666666666666, 5.0, 0.5, -5.8893720357965085e-08, 9.514555257468042e-09, 0.0, 0.880760566262577, 0.11919798069878526, 3.99864678458873e-05, 7.323777055012536e-07, 7.323777055012506e-07, 1.8153828316531399e-09, 0.8807605644471943, 0.2861648296492348
0.2753333333333333, 0.0, 0.1, -5.696902051058924e-08, -2.9302680583488448e-08, 1.4958195930721705e-08, 0.9999999999999897, 4.248354255291546e-18, 4.248354255291536e-18, 4.248354255291534e-18, 8.756510762696398e-27, 8.756510762696366e-27, 1.1257760632772665e-18, 3.949628974881183e-16
0.2753333333333333, 0.0, 0.5, 1.4134478924206632e-07, 2.0019754146581093e-07, 2.3090875045257676e-07, 0.9989823603369998, 0.0003351212478269205, 0.0003351212478268961, 0.00033512124782689607, 6.1379597591394154e-06, 6.137959759138826e-06, 1.1361785105869793e-18, 0.001537906574930962
0.2753333333333333, 0.3333333333333333, 0.1, -5.577187659700365e-08, -7.026466538073612e-08, -2.416219361398442e-08, 0.9999999999999922, 1.1908827290339854e-16, 4.248354255291598e-18, 1.5155576144004458e-19, 8.756510762696796e-27, 8.756510762696547e-27, 1.2455168152831423e-16, 3.949628974881183e-16
0.2753333333333333, 0.3333333333333333, 0.5, 2.055576120278159e-07, 1.614105285816962e-07, 1.715208182728506e-07, 0.9988279999075047, 0.0006526262044065412, 0.0003350694656715763, 0.00017203039974089522, 6.137011335881716e-06, 6.137011335881363e-06, 0.0004805958046659267, 0.001537906574930962
0.2753333333333333, 0.6666666666666666, 0.1, 4.2760228227680736e-08, 7.400949670404775e-09, -3.570263139964736e-09, 1.0000000000000147, 3.3382377953649582e-15, 4.2483542552916035e-18, 5.406599225349881e-21, 8.756510762696648e-27, 8.756510762696524e-27, 3.3384881583878534e-15, 1.0284596725950525e-14
0.2753333333333333, 0.6666666666666666, 0.5, 9.782718037657397e-08, 3.007292135216556e-08, 6.365688411746566e-08, 0.9982941032140157, 0.0012704628194283667, 0.00033489036328375514, 8.827614134413437e-05, 6.1337309612222795e-06, 6.133730961222208e-06, 0.0011821866780843116, 0.0022450907949388317
0.2753333333333333, 1.0, 0.1, 3.031253198098032e-06, 0.0, -1.1188508707263378e-08, 0.9999999999998856, 9.357622968839187e-14, 4.248354255291198e-18, 1.9287498479637622e-22, 8.756510762695923e-27, 8.756510762695768e-27, 9.358027852938142e-14, 2.887737291871794e-13
0.2753333333333333, 1.0, 0.5, 3.233843776059061e-06, 1.6388974736899328e-08, 1.5039784917092236e-07, 0.9971363210495879, 0.0024716538262347354, 0.00033450197063633266, 4.526991893927483e-05, 6.126617301745019e-06, 6.1266173017446986e-06, 0.0024263839072961838, 0.003981431133477991
0.2753333333333333, 1.3333333333333333, 0.1, -4.893013963733553e-06, -5.694859686603272e-08, 3.3341705843078412e-09, 0.9999999999973638, 2.6230937696623704e-12, 4.248354255280398e-18, 6.88062092445972e-24, 8.756510762673406e-27, 8.756510762673406e-27, 2.623094302951759e-12, 8.094444878151607e-12
0.2753333333333333, 1.3333333333333333, 0.5, -4.970205260958378e-06, 3.977278424214093e-08, -8.407811135739367e-10, 0.9948278797580394, 0.004802979255941168, 0.0003337275748543161, 2.318854366909375e-05, 6.112433748244665e-06, 6.112433748244655e-06, 0.0047797907122720746, 0.007530901775922851
0.2753333333333333, 1.6666666666666665, 0.1, 9.028128062926212e-08, -1.1835562184426681e-08, 3.291557092601745e-08, 0.9999999999264607, 7.352958060913107e-11, 4.24835425497921e-18, 2.4545922506674906e-25, 8.756510762052822e-27, 8.756510762052323e-27, 7.35296557768775e-11, 2.2690099671656236e-10
0.2753333333333333, 1.6666666666666665, 0.5, -3.252878086031094e-08, -1.8875283540639644e-07, -1.7278445108400293e-08, 0.9903311191044685, 0.009312640625191123, 0.00033221907970842164, 1.1851581239348566e-05, 6.084804695887086e-06, 6.0848046958870285e-06, 0.009300789043951789, 0.014467194661375086
0.2753333333333333, 2.0, 0.1, -2.7624020227409556e-08, -4.1919284496701435e-09, -4.1919284496701435e-09, 0.9999999979388551, 2.0611536181901996e-09, 4.248354246535139e-18, 8.756511094750015e-27, 8.756510744648021e-27, 8.756510394546318e-27, 2.061153619966367e-09, 6.360396685406366e-09
0.2753333333333333, 2.0, 0.5, -9.612285012278198e-08, 0.0, -1.5721868613151134e-07, 0.981672629319177, 0.01797996138556401, 0.0003293144799713753, 6.031606904895218e-06, 6.031605095986991e-06, 6.031603287079253e-06, 0.01797392978047039, 0.027754050356859523
0.2753333333333333, 2.333333333333333, 0.1, 5.192322038182796e-07, 3.9244286997587636e-08, -2.599957051493233e-08, 0.9999999422225297, 5.777748185595317e-08, 4.24835400983236e-18, 8.756510256767418e-27, 8.756510256767233e-27, 3.123796886450631e-28, 5.7777481958976537e-08, 1.7829225068483254e-07
0.2753333333333333, 2.333333333333333, 0.5, 2.9357194591202347e-08, -6.904745199630669e-08, -1.1767419564070059e-08, 0.9652277672279904, 0.03443352894667459, 0.00032379784331877507, 5.930564371177608e-06, 5.930564371177608e-06, 3.044853273687337e-06, 0.03443048409340091, 0.052660973801377665
0.2753333333333333, 2.6666666666666665, 0.1, -4.8841584148354785e-08, -1.3763813220839648e-08, -2.7801358685861057e-08, 0.9999983804058559, 1.6195941692230685e-06, 4.248347374681801e-18, 8.756496580702872e-27, 8.756496580702592e-27, 1.114381352991868e-29, 1.6195941694129115e-06, 4.997813399852592e-06
0.2753333333333333, 2.6666666666666665, 0.5, 2.4762369014480652e-06, -2.0009122955206794e-08, -7.085866930346206e-08, 0.9347254819215631, 0.06494795242980617, 0.0003135654665328475, 5.743151852993163e-06, 5.743151852993086e-06, 1.513878392212991e-06, 0.06494643855141505, 0.09765105426564524
0.2753333333333333, 3.0, 0.1, 1.836270396671268e-06, -2.851785951239557e-08, -7.200707092348072e-08, 0.9999546021312807, 4.539786870243218e-05, 4.248161389062778e-18, 8.756113235770694e-27, 8.756113235770414e-27, 3.975269258963196e-31, 4.539786870474224e-05, 0.00014009047851305386
0.2753333333333333, 3.0, 0.5, -2.693366318000926e-08, 1.642567396332769e-08, 1.9498216048027611e-07, 0.8805267293991108, 0.11916633432062937, 0.0002953838105826175, 5.410143208209785e-06, 5.410143208209506e-06, 7.321832634336141e-07, 0.11916560213737853, 0.17350132347508315
0.2753333333333333, 3.333333333333333, 0.1, 3.815400060937354e-05, 1.1023415478093207e-07, 1.1963858436239132e-07, 0.9987289837368896, 0.0012710162630811077, 4.242954527941291e-18, 8.745381095109063e-27, 8.745381095108503e-27, 1.4163991169187485e-32, 0.0012710162630955974, 0.003921978862050737
0.2753333333333333, 3.333333333333333, 0.5, -3.6552071471006656e-07, -1.6885156704915605e-07, -1.3974391800287385e-07, 0.7911734687177473, 0.20855106210708071, 0.00026540913094279413, 4.861137800121072e-06, 4.86113780012097e-06, 3.377686312220137e-07, 0.20855072433846086, 0.28603239104346345
0.2753333333333333, 3.6666666666666665, 0.1, 0.38634656219359903, -1.3140558432652308e-07, 5.674277013502086e-08, 0.9655548043337933, 0.034445195666203174, 4.102018861708211e-18, 8.454891036121622e-27, 8.454891036121081e-27, 4.885023416579624e-34, 0.03444519566623954, 0.10615737409006061
0.2753333333333333, 3.6666666666666665, 0.5, 1.2623764080576388e-06, 6.363629947489278e-08, -2.2693610126710709e-07, 0.6606044802366462, 0.3391656490630295, 0.0002216081149443258, 4.058894208133522e-06, 4.058894208133393e-06, 1.4479696497814195e-07, 0.3391655042661312, 0.417967295768545
0.2753333333333333, 4.0, 0.1, 0.4666480224397189, 6.097321877850835e-08, 0.0, 0.5000000000000006, 0.4999999999999899, 2.124177127645846e-18, 4.378255381348452e-27, 4.3782553813483275e-27, 9.024256939227214e-36, 0.49999999999999706, 1.489775373868024
0.2753333333333333, 4.0, 0.5, 6.823109177535487e-06, 3.1803878002601614e-08, 8.728578985608255e-09, 0.4999130551123169, 0.4999130433407991, 0.00016770214521629902, 3.071571932647807e-06, 3.071571932647788e-06, 5.625780233914828e-08, 0.4999129929687558, 0.5143919638483988
0.2753333333333333, 4.333333333333333, 0.1, 0.40304107630116565, 1.936183552093108e-07, 3.931348664364515e-08, 0.9655548043338062, 0.03444519566620755, 1.4633539358289112e-19, 3.0161972657435645e-28, 3.0161972657435e-28, 2.2177972000083222e-38, 0.9655548043337872, 1.4897753738681283
0.2753333333333333, 4.333333333333333, 0.5, 5.120008007957096e-06, -7.544788845033657e-08, -5.5920349123598905e-08, 0.6606784140443075, 0.33920360794564447, 0.00011379013371546048, 2.0841389982331567e-06, 2.084138998233153e-06, 1.9598331435896e-08, 0.6606783944459714, 0.5144492847270901
0.2753333333333333, 4.666666666666666, 0.1, 8.870050687241962e-06, -4.615396024965734e-07, 1.4782197639920815e-06, 0.9987289837369668, 0.0012710162630411891, 5.399727349710189e-21, 1.1129667587085289e-29, 1.1129667587035387e-29, 2.919416170579244e-41, 0.9987289837346919, 0.10615737408289512
0.2753333333333333, 4.666666666666666, 0.5, 7.085339127268359e-07, -3.9891904779275255e-08, -5.42955630588563e-08, 0.7913340613695107, 0.20859339387049666, 6.997528807090079e-05, 1.28164210744177e-06, 1.2816421074417693e-06, 6.187704004717579e-09, 0.7913340551818046, 0.418098114354666
