J, B, T, Ox, Oy, p1, p2, p3, p4, m, chi
0.01, 0.0, 0.1, 2.5454752545783776e-06, -5.570905051424412e-07, 0.9999999958776945, 2.0611536139418306e-09, 2.061153613941784e-09, 4.248354237778394e-18, 1.2447488097157937e-17, 9.689081191480402e-08
0.01, 0.1, 0.1, 3.4535976668470525e-06, 4.7390656807628964e-07, 0.9999999936389428, 5.6027964018973036e-09, 7.582560379678499e-10, 4.2483542282671864e-18, 4.84454060818769e-09, 9.689081191480402e-08
0.02566929133858268, 0.0, 0.1, 9.55675950837587e-08, -2.9809512148315764e-08, 0.9999999958776905, 2.0611536139418417e-09, 2.061153613941841e-09, 4.248354237778558e-18, 1.2447490371904622e-17, 9.689080716726074e-08
0.02566929133858268, 0.1, 0.1, -9.256754064195965e-08, -2.0828812559604967e-07, 0.9999999936389512, 5.6027964018975956e-09, 7.582560379678858e-10, 4.2483542282676e-18, 4.844540370810527e-09, 9.689080716726074e-08
0.04133858267716536, 0.0, 0.1, 2.4867565959782543e-07, 4.586520496288627e-08, 0.9999999958776857, 2.061153613941839e-09, 2.0611536139418327e-09, 4.248354237778523e-18, 1.2447489854916739e-17, 9.689080922954946e-08
0.04133858267716536, 0.1, 0.1, 2.9506773399893676e-10, -5.658865893024131e-07, 0.9999999936389508, 5.602796401897507e-09, 7.58256037967875e-10, 4.248354228267432e-18, 4.844540473924963e-09, 9.689080922954946e-08
0.057007874015748035, 0.0, 0.1, 8.835248582446734e-09, -9.573877050617595e-08, 0.9999999958776916, 2.061153613941848e-09, 2.0611536139418467e-09, 4.248354237778578e-18, 1.4302967638255874e-18, 9.689080754766604e-08
0.057007874015748035, 0.1, 0.1, 1.4729616830638868e-07, 3.299264735784356e-08, 0.9999999936389451, 5.602796401897585e-09, 7.582560379678843e-10, 4.248354228267589e-18, 4.8445403788136e-09, 9.689080754766604e-08
0.0726771653543307, 0.0, 0.1, 1.176445692185283e-07, 1.1693103515096974e-07, 0.9999999958776993, 2.0611536139418657e-09, 2.0611536139418413e-09, 4.24835423777858e-18, 1.2447489131133703e-17, 9.68908070585584e-08
0.0726771653543307, 0.1, 0.1, 3.688500833452591e-08, -1.0684231193996627e-09, 0.9999999936389606, 5.602796401897646e-09, 7.582560379678923e-10, 4.24835422826764e-18, 4.8445403653754095e-09, 9.68908070585584e-08
0.08834645669291338, 0.0, 0.1, -5.3176243595822543e-08, -5.971571009566997e-08, 0.999999995877688, 2.061153613941857e-09, 2.0611536139418488e-09, 4.248354237778578e-18, 1.4302974359098351e-18, 9.689080754002276e-08
0.08834645669291338, 0.1, 0.1, 1.5147153177555082e-08, -9.494251027498837e-08, 0.9999999936389468, 5.602796401897589e-09, 7.582560379678845e-10, 4.248354228267567e-18, 4.8445403784314355e-09, 9.689080754002276e-08
0.10401574803149606, 0.0, 0.1, -1.4720122155297583e-08, -6.810842164613217e-08, 0.9999999958776903, 2.061153613941847e-09, 2.0611536139418434e-09, 4.248354237778572e-18, 1.4302968155243757e-18, 9.68908074843516e-08
0.10401574803149606, 0.1, 0.1, 4.405561186896505e-08, -5.871515741385754e-08, 0.9999999936389505, 5.602796401897599e-09, 7.58256037967886e-10, 4.248354228267598e-18, 4.844540375647878e-09, 9.68908074843516e-08
0.11968503937007874, 0.0, 0.1, -5.036449054000899e-10, -5.711145012964568e-08, 0.999999995877693, 2.061153613941841e-09, 2.061153613941841e-09, 4.248354237778568e-18, 1.4302966087292226e-18, 9.68908096397468e-08
0.11968503937007874, 0.1, 0.1, 2.0318216845252113e-07, 1.4706383464620666e-08, 0.9999999936389425, 5.602796401897491e-09, 7.582560379678737e-10, 4.248354228267413e-18, 4.8445404834176365e-09, 9.68908096397468e-08
0.13535433070866143, 0.0, 0.1, 9.678594869739349e-08, -1.1088394917456e-08, 0.9999999958776848, 2.0611536139418273e-09, 2.0611536139418207e-09, 4.248354237778503e-18, 1.2447489854916739e-17, 9.68908076318829e-08
0.13535433070866143, 0.1, 0.1, 4.486656469664744e-08, -7.851065871847165e-08, 0.999999993638949, 5.602796401897571e-09, 7.582560379678818e-10, 4.248354228267561e-18, 4.844540394041636e-09, 9.68908076318829e-08
0.15102362204724412, 0.0, 0.1, 2.5609532832587302e-08, -6.171623621658438e-08, 0.9999999958776931, 2.0611536139418575e-09, 2.061153613941846e-09, 4.248354237778584e-18, 1.2447490268507045e-17, 9.689080705887087e-08
0.15102362204724412, 0.1, 0.1, -6.747523785084392e-09, -1.6529288579579873e-08, 0.9999999936389482, 5.602796401897623e-09, 7.582560379678894e-10, 4.248354228267618e-18, 4.844540365391034e-09, 9.689080705887087e-08
0.16669291338582679, 0.0, 0.1, 4.372020900736753e-08, -2.980232238769538e-08, 0.9999999958776896, 2.0611536139418517e-09, 2.0611536139418397e-09, 4.248354237778569e-18, 1.2447490992290081e-17, 9.689080769505797e-08
0.16669291338582679, 0.1, 0.1, 7.019652384387433e-08, 3.20841293865512e-08, 0.9999999936389523, 5.602796401897579e-09, 7.582560379678833e-10, 4.24835422826759e-18, 4.8445403972003895e-09, 9.689080769505797e-08
0.18236220472440945, 0.0, 0.1, 1.2909286629014978e-07, 1.4663665380393504e-08, 0.9999999958776846, 2.0611536139418037e-09, 2.061153613941783e-09, 4.248354237778367e-18, 1.2447488200555514e-17, 9.68908162076362e-08
0.18236220472440945, 0.1, 0.1, 2.6196562358379513e-07, 4.959975579822079e-09, 0.999999993638959, 5.6027964018970744e-09, 7.582560379678223e-10, 4.248354228266833e-18, 4.844540822829299e-09, 9.68908162076362e-08
0.19803149606299214, 0.0, 0.1, 6.891867110120006e-07, -1.2780724700205897e-09, 0.9999999958776873, 2.0611536139403094e-09, 2.0611536139402982e-09, 4.2483542377722354e-18, 1.2447479928749388e-17, 9.689089698648965e-08
0.19803149606299214, 0.1, 0.1, 7.551120550252678e-07, -2.015060966959291e-08, 0.9999999936389447, 5.60279640189232e-09, 7.582560379672399e-10, 4.248354228259981e-18, 4.844544861771963e-09, 9.689089698648965e-08
0.21370078740157483, 0.0, 0.1, 1.80434532865998e-06, -1.858098805824419e-08, 0.9999999958776916, 2.0611536139298406e-09, 2.0611536139293356e-09, 4.248354237728045e-18, 1.244746659046201e-17, 9.689146105189203e-08
0.21370078740157483, 0.1, 0.1, 1.8872640455826033e-06, 2.5812262616015958e-08, 0.9999999936389383, 5.602796401859209e-09, 7.582560379631844e-10, 4.248354228212138e-18, 4.844573065042069e-09, 9.689146105189203e-08
0.2293700787401575, 0.0, 0.1, 4.132765734055598e-06, -4.679273967369551e-08, 0.9999999958776982, 2.0611536138694333e-09, 2.0611536138660782e-09, 4.24835423747318e-18, 1.244746659046201e-17, 9.689475645608809e-08
0.2293700787401575, 0.1, 0.1, 4.321213715005601e-06, -2.564769130708397e-08, 0.9999999936389551, 5.602796401665865e-09, 7.58256037939511e-10, 4.248354227932895e-18, 4.8447378352518715e-09, 9.689475645608809e-08
0.24503937007874016, 0.0, 0.1, 8.833042529538676e-06, 3.5356435026872425e-09, 0.9999999958776933, 2.0611536135559153e-09, 2.0611536135552965e-09, 4.248354236186374e-18, 1.2447360918138757e-17, 9.691174716572926e-08
0.24503937007874016, 0.1, 0.1, 9.313884268699439e-06, -4.972627754000311e-08, 0.9999999936389424, 5.602796400668753e-09, 7.582560378174174e-10, 4.2483542264928156e-18, 4.845587370733824e-09, 9.691174716572926e-08
0.26070866141732285, 0.0, 0.1, 1.7870654563391028e-05, -4.8712386674696905e-08, 0.9999999958776945, 2.0611536121619765e-09, 2.0611536121424638e-09, 4.2483542304011615e-18, 1.2447148849709214e-17, 9.698924257288334e-08
0.26070866141732285, 0.1, 0.1, 1.898031036581902e-05, -2.395717166460175e-08, 0.9999999936389492, 5.602796396121179e-09, 7.582560372605857e-10, 4.248354219924727e-18, 4.849462141091316e-09, 9.698924257288334e-08
0.27637795275590554, 0.0, 0.1, -2.807136585097298e-08, -1.4050722425528866e-07, 0.9999999958776924, 2.0611536139417743e-09, 2.0611536139416747e-09, 4.248354237778068e-18, 1.4302946441752678e-18, 9.689081318978087e-08
0.27637795275590554, 0.1, 0.1, -3.185879433036756e-08, -1.3538214599460846e-07, 0.9999999936389518, 5.602796401897271e-09, 7.582560379678465e-10, 4.2483542282671194e-18, 4.844540660919338e-09, 9.689081318978087e-08
0.29204724409448823, 0.0, 0.1, 1.0072182434903476e-08, -1.4749231745211553e-08, 0.9999999958776931, 2.0611536139418484e-09, 2.0611536139418442e-09, 4.248354237778584e-18, 1.4302962985364929e-18, 9.689080815574793e-08
0.29204724409448823, 0.1, 0.1, 5.088662338464283e-08, -7.224080156657018e-09, 0.9999999936389465, 5.602796401897553e-09, 7.582560379678798e-10, 4.24835422826752e-18, 4.8445404092176926e-09, 9.689080815574793e-08
0.30771653543307087, 0.0, 0.1, -4.694090877714057e-09, -3.287688768604147e-08, 0.9999999958776942, 2.061153613941848e-09, 2.061153613941843e-09, 4.248354237778558e-18, 1.4302970223195289e-18, 9.689082092942547e-08
0.30771653543307087, 0.1, 0.1, 1.8679864703545544e-07, -3.22881117769199e-08, 0.99999999363895, 5.602796401896819e-09, 7.582560379677908e-10, 4.248354228266463e-18, 4.844541047901571e-09, 9.689082092942547e-08
