J, B, T, O, m, chi, E0, E1, E2, E3, p0, p1, p2, p3 
0.1, 0.0, 0.0, [2.69457463e-06], 0.0, 1.0805038032093403e-12, -1.9999999999988236, 1.4028789789305601e-12, 1.5449784448881093e-12, 2.0000000000017693, 1.0, 0.0, 0.0, 0.0
0.1, 0.3333333333333333, 0.0, [7.14589205e-06], 3.6016793440311343e-13, 5.23511779017729e-12, -1.9999999999918887, -0.3333333333227701, 0.33333333334319604, 2.00000000001231, 1.0, 0.0, 0.0, 0.0
0.1, 0.6666666666666666, 0.0, [1.42115534e-05], 3.49007852678486e-12, 4.259572335558092e-11, -1.9999999999679385, -0.6666666666222004, 0.6666666667049285, 2.0000000000506706, 1.0, 0.0, 0.0, 0.0
0.1, 1.0, 0.0, [2.83408324e-05], 2.8757316838123722e-11, 1.6822381271547767e-12, -1.9999999998813747, -0.9999999998166723, 1.0000000001401934, 2.0000000002048988, 1.0, 0.0, 0.0, 0.0
0.1, 1.3333333333333333, 0.0, [7.3030569e-06], 4.611570611554711e-12, -3.512903063727399e-11, -1.9999999999931648, -1.3333333333200963, 1.3333333333414465, 2.0000000000145204, 1.0, 0.0, 0.0, 0.0
0.1, 1.6666666666666665, 0.0, [3.35053272e-06], 5.337963079941064e-12, 0.748963551598817, -1.999999999998965, -1.6666666666620444, 1.6666666666680257, 2.0000000000049467, 1.0, 0.0, 0.0, 0.0
0.1, 2.0, 0.0, [0.52627002], 0.4993090344038229, 1.4999999999828157, -2.0526296632690078, -1.8421216053923937, 1.9529057120448876, 2.1634137699215015, 1.0, 0.0, 0.0, 0.0
0.1, 2.333333333333333, 0.0, [3.4780106e-06], 0.9999999999938818, 0.751036448387986, -2.333333333332138, -1.9999999999947506, 2.0000000000015072, 2.333333333338895, 1.0, 0.0, 0.0, 0.0
0.1, 2.6666666666666665, 0.0, [6.71726914e-06], 0.9999999999958136, -4.7905179823004573e-11, -2.666666666660673, -1.9999999999885385, 2.0000000000067706, 2.666666666678906, 1.0, 0.0, 0.0, 0.0
0.1, 3.0, 0.0, [3.01030975e-05], 0.999999999961945, 3.7196912217041245e-12, -2.9999999998609543, -1.9999999997877693, 2.0000000001536846, 3.0000000002268683, 1.0, 0.0, 0.0, 0.0
0.1, 3.333333333333333, 0.0, [8.43289155e-06], 0.9999999999982934, 5.411887604722665e-11, -3.333333333321731, -1.999999999984115, 2.0000000000126708, 3.3333333333502853, 1.0, 0.0, 0.0, 0.0
0.1, 3.6666666666666665, 0.0, [1.12186904e-05], 0.9999999999980242, 2.4630297801309098e-12, -3.6666666666453316, -1.9999999999726013, 2.000000000023119, 3.666666666695846, 1.0, 0.0, 0.0, 0.0
0.1, 4.0, 0.0, [2.41403137e-06], 0.9999999999999354, 2.5059954111839033e-12, -3.9999999999989915, -1.99999999999876, 2.0000000000010885, 4.0000000000013225, 1.0, 0.0, 0.0, 0.0
0.1, 4.333333333333333, 0.0, [6.0048701e-06], 0.9999999999996949, -3.478883847662928e-13, -4.333333333326877, -1.999999999992288, 2.0000000000069194, 4.333333333341508, 1.0, 0.0, 0.0, 0.0
0.1, 4.666666666666666, 0.0, [6.51731462e-06], 0.9999999999997035, 3.79363207514416e-13, -4.666666666658531, -1.9999999999905005, 2.0000000000086797, 4.666666666676708, 1.0, 0.0, 0.0, 0.0
0.1, 5.0, 0.0, [-3.42338175e-07], 0.9999999999999478, 7.330802631599909e-13, -4.9999999999982006, -1.999999999997938, 2.000000000001911, 5.00000000000217, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.0, 0.0, [1.90829879e-07], 0.0, 1.6405126578630337e-13, -1.9999999999995786, 6.701414662131804e-13, 8.725646683891735e-13, 2.00000000000112, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.3333333333333333, 0.0, [5.74500611e-07], 5.468375526210112e-14, 5.329858147283994e-13, -1.9999999999996338, -0.33333333333259607, 0.33333333333396425, 2.000000000001004, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.6666666666666666, 0.0, [5.57312088e-07], 3.5532387648559953e-13, 7.80438230018003e-12, -1.9999999999990916, -0.6666666666644935, 0.6666666666682087, 2.000000000002808, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 1.0, 0.0, [1.45519801e-06], 5.257605288715454e-12, 6.202413547999921e-10, -1.99999999999484, -0.9999999999830109, 1.0000000000091043, 2.000000000020935, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 1.3333333333333333, 0.0, [1.3529741e-05], 4.138495604098137e-10, 0.2620045573018022, -1.9999999999222329, -1.333333332680775, 1.333333333526057, 2.0000000007675145, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 1.6666666666666665, 0.0, [0.43568773], 0.17466970487312575, 0.7439596969868133, -2.0163235754188764, -1.4994534641168435, 1.6715603768413698, 2.1884304881434025, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 2.0, 0.0, [0.56332848], 0.49597313173839175, 0.9791158219971594, -2.127753492393356, -1.617002317713075, 1.9047230127547696, 2.4154741874350525, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 2.333333333333333, 0.0, [0.4199864], 0.8274135862045653, 0.7560403023137793, -2.3480898363881666, -1.8420163590497425, 2.001942006160062, 2.508015483498485, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 2.6666666666666665, 0.0, [4.12222803e-06], 0.9999999999475779, 0.2588796206925249, -2.6666666666554413, -1.9999999999202784, 2.00000000002101, 2.666666666756172, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 3.0, 0.0, [9.86061225e-07], 0.9999999999995819, 7.855482930807511e-11, -2.9999999999995977, -1.999999999998789, 2.0000000000005653, 3.0000000000013696, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 3.333333333333333, 0.0, [5.18118731e-07], 0.9999999999999478, 5.908606937055083e-13, -3.3333333333332242, -1.9999999999997573, 2.000000000000143, 3.3333333333336075, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 3.6666666666666665, 0.0, [-2.74428526e-07], 0.9999999999999758, 6.428191312579656e-14, -3.6666666666665773, -1.9999999999998397, 2.000000000000111, 3.666666666666858, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 4.0, 0.0, [3.87711941e-07], 0.9999999999999907, -5.803357794320618e-12, -3.9999999999999485, -1.9999999999999183, 2.000000000000061, 4.000000000000092, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 4.333333333333333, 0.0, [9.48049302e-06], 0.9999999999961069, -1.4271916981556387e-12, -4.333333333303111, -1.9999999999537847, 2.000000000036111, 4.333333333385442, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 4.666666666666666, 0.0, [5.35351785e-06], 0.9999999999990392, 5.331401986552464e-12, -4.666666666656764, -1.9999999999856748, 2.000000000011674, 4.66666666668276, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 5.0, 0.0, [3.52207398e-06], 0.9999999999996612, 1.865840815185038e-12, -4.999999999995533, -1.9999999999938183, 2.000000000005203, 5.0000000000069225, 1.0, 0.0, 0.0, 0.0
0.3533333333333333, 0.0, 0.0, [2.8185051e-06], 0.0, 8.812082572208589e-11, -1.9999999999597424, 9.882111630506351e-11, 1.7565832643083355e-10, 2.0000000002342215, 1.0, 0.0, 0.0, 0.0
0.3533333333333333, 0.3333333333333333, 0.0, [4.03016896e-06], 2.937360857402863e-11, 3.4267532115285055e-10, -1.999999999935612, -0.33333333306904034, 0.33333333354051115, 2.0000000004070837, 1.0, 0.0, 0.0, 0.0
0.3533333333333333, 0.6666666666666666, 0.0, [2.39081691e-06], 2.2845021410190036e-10, 9.603537171346282e-09, -1.99999999984291, -0.6666666656973097, 0.6666666672298898, 2.0000000013754877, 1.0, 0.0, 0.0, 0.0
0.3533333333333333, 1.0, 0.0, [-9.96162735e-06], 6.431731722804884e-09, 0.17848419644456928, -1.9999999994084015, -0.9999999849370049, 1.0000000054153968, 2.000000019886795, 1.0, 0.0, 0.0, 0.0
0.3533333333333333, 1.3333333333333333, 0.0, [0.42044305], 0.11898946452482974, 0.44541158249329266, -2.014551314507931, -1.1214952151615107, 1.3713334831868544, 2.2643895825332763, 1.0, 0.0, 0.0, 0.0
0.3533333333333333, 1.6666666666666665, 0.0, [0.56901312], 0.2969410614272601, 0.5549758312240636, -2.083385015809518, -1.212835112810212, 1.6704384306175335, 2.540988333616844, 1.0, 0.0, 0.0, 0.0
