J, B, T, O, m, chi, E0, E1, E2, E3, E4, E5, p0, p1, p2, p3, p4, p5 
0.1, 0.0, 0.0, [4.00046623e-06], 0.0, 6.371477354765813e-13, -3.9999999999956013, 3.422549202840722e-12, 4.864934761125003e-12, 4.911850296623124e-12, 2.000000000004914, 2.000000000006817, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 0.3333333333333333, 0.0, [1.28326717e-05], 2.1238257849219375e-13, 1.977525609910988e-15, -3.9999999999426645, -0.3333333332754643, 5.970081803948546e-11, 0.3333333333873335, 2.0000000000677756, 2.0000000000857843, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 0.6666666666666666, 0.0, [6.42964146e-07], 1.3183504066073253e-15, -3.145593031447474e-13, -3.999999999999859, -0.6666666666665253, 1.5376972942664852e-13, 0.6666666666667838, 2.0000000000001665, 2.0000000000002167, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.0, 0.0, [6.50743092e-07], 2.6763763956954895e-15, 9.927895855676984e-15, -3.9999999999997495, -0.999999999999735, 2.5071500978724353e-13, 1.0000000000002096, 2.000000000000319, 2.000000000000372, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.3333333333333333, 0.0, [1.07160326e-06], 7.936947643725315e-15, 3.139113930977559e-14, -3.9999999999992655, -1.3333333333325255, 6.90223700872955e-13, 1.3333333333339472, 2.0000000000009432, 2.0000000000011586, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.6666666666666665, 0.0, [1.44258981e-06], 2.3603802602212548e-14, -1.0664628733059225e-14, -3.999999999998879, -1.6666666666654173, 1.1185130319316588e-12, 1.6666666666670322, 2.000000000001449, 2.0000000000022955, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 2.0, 0.0, [-6.81109887e-08], 8.271951550191646e-16, -2.721565435697783e-14, -3.9999999999997833, -1.9999999999997573, 1.7372878895994373e-13, 1.99999991371725, 2.0000000000003064, 2.000000086283257, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 2.333333333333333, 0.0, [-1.84670555e-07], 5.4600330308939955e-15, 1.4604862563826247e-13, -3.999999999999902, -2.3333333333332154, 1.0461403379777427e-13, 2.000000000000025, 2.000000000000129, 2.3333333333335484, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 2.6666666666666665, 0.0, [-3.16974194e-07], 9.819294558052746e-14, 8.213058363727285e-13, -3.9999999999985896, -2.6666666666649586, 1.4273420583216482e-12, 2.000000000001223, 2.000000000001902, 2.6666666666688896, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 3.0, 0.0, [-7.67449311e-07], 5.529972572793796e-13, 1.3707754617144724e-14, -3.9999999999909592, -2.999999999989215, 8.160617207620988e-12, 2.000000000009715, 2.000000000013327, 3.0000000000116596, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 3.333333333333333, 0.0, [1.12767998e-08], 1.0733144865862395e-13, 1.141865236121777e-11, -3.999999999999607, -3.333333333332781, 4.22750810114431e-13, 2.0000000000004587, 2.000000000000596, 3.3333333333339135, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 3.6666666666666665, 0.0, [-6.56277223e-07], 8.165432164757892e-12, 0.7575931291770838, -3.9999999999905826, -3.6666666666511345, 1.054697856416321e-11, 2.0000000000125047, 2.0000000000163927, 3.6666666666809977, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 4.0, 0.0, [0.42800907], 0.5050620861181632, 1.4999999999644729, -4.0524141075035, -3.8427068594704155, 0.05495752991265355, 2.047678590847932, 2.054957530019568, 4.067272495684676, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 4.333333333333333, 0.0, [-1.60317471e-06], 0.9999999999844806, 0.7424068708211968, -4.333333333290893, -3.9999999999508917, 3.6261121332496615e-11, 2.000000000047407, 2.000000000063738, 4.333333333383136, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
