J, B, T, O, m, chi, E0, E1, E2, p0, p1, p2 
0.1, 0.0, 0.0, 5.303386265703355e-06, 0.0, 3.128477447451041e-12, -1.9999999998777973, 0.9999954871560727, 1.0000045131290656, 1.0, 0.0, 0.0
0.1, 0.3125, 0.0, 4.994570810053223e-06, 9.776492023284503e-13, 3.676250773710491e-12, -1.9999999998761826, 0.6875000001123727, 1.312500000177039, 1.0, 0.0, 0.0
0.1, 0.625, 0.0, 4.991396393703648e-06, 2.297656733569057e-12, 5.467791323875564e-12, -1.9999999998644407, 0.3750000001427777, 1.6250000001758118, 1.0, 0.0, 0.0
0.1, 0.9375, 0.0, 5.890274518121491e-06, 4.395018779750678e-12, 1.063713964566524e-11, -1.9999999998472677, 0.06250000017052035, 1.937500000192055, 1.0, 0.0, 0.0
0.1, 1.25, 0.0, 5.393240117074899e-06, 8.945869012109832e-12, 9.328453006237454e-12, -1.9999999998066822, -0.24999999977440943, 2.2500000002408904, 1.0, 0.0, 0.0
0.1, 1.5625, 0.0, 4.265098924053767e-06, 1.0225301908649086e-11, -1.2547323760027076e-11, -1.9999999998650726, -0.562499999834799, 2.5625000001690372, 1.0, 0.0, 0.0
0.1, 1.875, 0.0, -9.267901288470058e-07, 1.1037916620929098e-12, -5.334788633805068e-12, -1.9999999999917761, -0.8749999999892448, 2.875000000010532, 1.0, 0.0, 0.0
0.1, 2.1875, 0.0, -3.505206497199959e-06, 6.891059012520919e-12, 5.803919993242752e-11, -1.9999999999755491, -1.1874999999642364, 3.187500000033051, 1.0, 0.0, 0.0
0.1, 2.5, 0.0, -9.469458487214117e-06, 3.7378291619860116e-11, 1.1590318259804812e-09, -1.9999999999577416, -1.499999999920224, 3.5000000000664135, 1.0, 0.0, 0.0
0.1, 2.8125, 0.0, 2.4890683372292504e-05, 7.312859502503216e-10, 1.4360197751437376, -1.999999999970112, -1.8124999996957427, 3.812500000180577, 1.0, 0.0, 0.0
0.1, 3.125, 0.0, 0.27292364373702993, 0.8975123595022143, 1.599999998651716, -2.1265384674391847, -1.9693828329416778, 4.1406145947572, 1.0, 0.0, 0.0
0.1, 3.4375, 0.0, -1.895993140074507e-05, 0.9999999998886083, 0.1639802247868193, -2.437499999910421, -1.999999999813945, 4.437500000147364, 1.0, 0.0, 0.0
0.1, 3.75, 0.0, -3.4017004414205343e-06, 0.9999999999939764, 1.3624283923263646e-10, -2.7499999999827227, -1.9999999999739173, 4.750000000023079, 1.0, 0.0, 0.0
0.1, 4.0625, 0.0, 8.685580894361722e-06, 0.9999999999737601, -9.464429240324534e-13, -3.0624999998395297, -1.9999999997861448, 5.0625000001985345, 1.0, 0.0, 0.0
0.1, 4.375, 0.0, 4.160977969827964e-06, 0.9999999999933848, 3.8100900212612035e-11, -3.3749999999305706, -1.999999999913488, 5.375000000082434, 1.0, 0.0, 0.0
0.1, 4.6875, 0.0, 1.9790682751191085e-06, 0.9999999999975732, 9.092282482470182e-12, -3.687499999961274, -1.9999999999537272, 5.687500000044812, 1.0, 0.0, 0.0
0.1, 5.0, 0.0, 1.6819821681071656e-06, 0.9999999999990675, 4.781952611665474e-12, -3.9999999999790457, -1.9999999999756768, 6.00000000002381, 1.0, 0.0, 0.0
0.22666666666666666, 0.0, 0.0, -6.442925576892006e-06, 0.0, 3.174965381014419e-12, -1.9999999999577773, 0.9999956916084491, 1.0000043085131194, 1.0, 0.0, 0.0
0.22666666666666666, 0.3125, 0.0, -6.985032994771767e-06, 9.921766815670059e-13, 3.655807306325382e-12, -1.9999999999524583, 0.6875000000359247, 1.3125000001015523, 1.0, 0.0, 0.0
0.22666666666666666, 0.625, 0.0, -7.03446945302924e-06, 2.284879566453364e-12, 8.41348967002086e-12, -1.999999999949321, 0.375000000057858, 1.6250000000907094, 1.0, 0.0, 0.0
0.22666666666666666, 0.9375, 0.0, -8.406251721398766e-06, 6.250607725330044e-12, 2.2915106063691536e-11, -1.9999999999192999, 0.06250000010599875, 1.9375000001366232, 1.0, 0.0, 0.0
0.22666666666666666, 1.25, 0.0, -1.1290202294505398e-05, 1.6606820856260574e-11, -7.867259480512023e-12, -1.9999999998692828, -0.24999999980937815, 2.2500000002190284, 1.0, 0.0, 0.0
0.22666666666666666, 1.5625, 0.0, -1.96409683773098e-06, 1.3335705500100292e-12, -8.23283208736689e-12, -1.9999999999937985, -0.5624999999898528, 2.5625000000106475, 1.0, 0.0, 0.0
0.22666666666666666, 1.875, 0.0, -4.570083849367667e-06, 1.1461300801656267e-11, 5.250018577664918e-12, -1.999999999971701, -0.8749999999454033, 2.875000000052294, 1.0, 0.0, 0.0
0.22666666666666666, 2.1875, 0.0, 1.6889764865215875e-07, 4.614832161050603e-12, 8.842541175881731e-11, -1.9999999999952593, -1.187499999987685, 3.187500000010501, 1.0, 0.0, 0.0
0.22666666666666666, 2.5, 0.0, 7.512955262826254e-06, 6.672718315091708e-11, 0.4135537065180325, -1.9999999999872256, -1.4999999999202496, 3.5000000000558957, 1.0, 0.0, 0.0
0.22666666666666666, 2.8125, 0.0, 0.4252663800420972, 0.25847106657838514, 1.0528032739929796, -2.0245725708583397, -1.633415963433572, 3.903944912462046, 1.0, 0.0, 0.0
0.22666666666666666, 3.125, 0.0, 0.4567211601149472, 0.6580020463123394, 1.1864462934424267, -2.167619629931945, -1.7783408021393459, 4.229646772851401, 1.0, 0.0, 0.0
0.22666666666666666, 3.4375, 0.0, 5.549656984021765e-06, 0.9999999999799019, 0.5471967257185033, -2.4374999999980544, -1.9999999999806468, 4.437500000012376, 1.0, 0.0, 0.0
0.22666666666666666, 3.75, 0.0, -1.0001728767882156e-05, 0.999999999886404, 2.6078694759235077e-11, -2.7499999999076286, -1.9999999997415043, 4.7500000002018785, 1.0, 0.0, 0.0
0.22666666666666666, 4.0625, 0.0, -3.0433214820276623e-06, 0.999999999996201, 1.452949760505362e-10, -3.062499999992216, -1.9999999999844875, 5.062500000013296, 1.0, 0.0, 0.0
0.22666666666666666, 4.375, 0.0, -6.620823900567527e-06, 0.9999999999772133, -8.462563982902793e-13, -3.374999999913807, -1.9999999998549627, 5.37500000013101, 1.0, 0.0, 0.0
0.22666666666666666, 4.6875, 0.0, -3.518220609814469e-06, 0.9999999999956721, 3.481801513771643e-11, -3.687499999974051, -1.9999999999606046, 5.687500000036787, 1.0, 0.0, 0.0
