J, B, T, O, m, chi, E0, E1, E2, E3, E4, E5, p0, p1, p2, p3, p4, p5 
0.1, 0.0, 0.0, 4.000466229239774e-06, 0.0, 4.961631557938765e-13, -3.9999999999956013, 3.422549202840722e-12, 4.864934761125003e-12, 4.911850296623124e-12, 2.000000000004914, 2.000000000006817, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 0.3125, 0.0, 1.1365338941664012e-05, 1.5505098618558642e-13, 1.239793119912671e-15, -3.9999999999553966, -0.31249999995507494, 4.646924650088676e-11, 0.3125000000421045, 2.0000000000526184, 2.000000000066768, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 0.625, 0.0, 8.54522355241539e-07, 7.748706999454194e-16, -2.471311462664735e-13, -3.9999999999997167, -0.6249999999996951, 2.478725697930463e-13, 0.6250000000002905, 2.0000000000003406, 2.0000000000004166, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 0.9375, 0.0, 5.6525024179297756e-08, 5.940197690404836e-16, 4.861499238501124e-16, -3.999999999999952, -0.9374999999999499, 5.103132487930345e-14, 0.9375000000000382, 2.000000000000057, 2.0000000000000773, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.25, 0.0, 4.281380412541171e-07, 1.0787144023517396e-15, 1.7127976680456366e-14, -3.9999999999999503, -1.2499999999999423, 5.808445724461769e-14, 1.2500000000000309, 2.00000000000006, 2.000000000000095, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.5625, 0.0, -3.7205031899801465e-07, 1.1299005194325713e-14, 1.834633980966796e-15, -3.999999999999262, -1.5624999999991835, 7.05447810195035e-13, 1.562500000000466, 2.000000000000952, 2.0000000000012994, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 1.875, 0.0, 4.292252980193142e-07, 2.225360640455987e-15, 1.921414389939126e-13, -3.999999999999904, -1.874999999999895, 9.010242545687841e-14, 1.8749999999999207, 2.0000000000001186, 2.000000000000299, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 2.1875, 0.0, -1.185126395824291e-06, 1.3138740456552108e-13, 2.5469450441412073e-14, -3.999999999997128, -2.1874999999966653, 3.0185774387967074e-12, 1.9999999999984803, 2.000000000003685, 2.187500000008413, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 2.5, 0.0, -4.756531821753648e-07, 1.814376716633853e-14, -1.5748036656075992e-13, -3.999999999999048, -2.499999999998915, 8.168694384740362e-13, 2.000000000000945, 2.000000000001395, 2.5000000000012546, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 2.8125, 0.0, -3.042134888594193e-08, 3.2962175465046124e-14, 1.1456204645823805e-12, -3.999999999998883, -2.8124999999987135, 9.5876871052724e-13, 2.0000000000011897, 2.000000000001657, 2.8125000000013896, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 3.125, 0.0, -2.415932431295339e-07, 7.341565575303264e-13, 1.896720414338002e-12, -3.999999999988058, -3.124999999985802, 1.0494509703907168e-11, 2.000000000013151, 2.0000000000179643, 3.1250000000148623, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 3.4375, 0.0, -1.3216090529135487e-06, 1.2184124344262975e-12, 1.0362905589026466e-08, -3.9999999999968745, -3.4374999999953726, 3.4376927353908595e-12, 2.000000000003716, 2.000000000004906, 3.437500000004672, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 3.75, 0.0, 8.203349866687908e-05, 6.4775501496990716e-09, 1.0442304254287111, -3.9999999996469913, -3.7499999964935156, 2.026367374893294e-09, 2.0000000017019564, 2.0000000020286137, 3.7500000025418325, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 4.0625, 0.0, 0.40990172967843447, 0.6526440158941629, 1.5999999895977375, -4.088605899432731, -3.877657085181038, 0.05040585480402327, 2.0439931671792326, 2.0504058627277124, 4.123893228735714, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 4.375, 0.0, -4.0049149398828943e-07, 0.9999999999761361, 0.5557695745670432, -4.374999999976208, -3.9999999999594915, 2.8609119730999528e-11, 2.0000000000323315, 2.0000000000401923, 4.375000000036941, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 4.6875, 0.0, 2.0472965080010278e-07, 0.9999999999985649, 3.817390847871138e-11, -4.687499999989657, -3.9999999999884204, 9.05353643888251e-12, 2.0000000000112856, 2.0000000000147162, 4.687500000012077, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.1, 5.0, 0.0, 2.8627558042739615e-07, 0.9999999999999948, 4.5755399469271655e-12, -4.999999999999706, -3.99999999999972, 2.1890718865126544e-13, 2.0000000000003015, 2.000000000000413, 5.0000000000003, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.0, 0.0, -2.291122713638915e-07, 0.0, 1.7737814894707604e-12, -3.9999999999912332, 3.642346214949963e-12, 1.0983844229365325e-11, 1.1670055220459435e-11, 2.0000000000127702, 2.0000000000201767, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.3125, 0.0, 3.255787388248971e-07, 5.543067154596127e-13, 3.759314857614829e-14, -3.9999999999522053, -0.3124999999547293, 6.186511790530413e-11, 0.3125000000351886, 2.000000000062442, 2.0000000001189244, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.625, 0.0, 1.3620632296462654e-06, 2.349571786009268e-14, -7.570141793614471e-13, -3.999999999998958, -0.6249999999989126, 1.292052082501162e-12, 0.6250000000006453, 2.0000000000014153, 2.0000000000026437, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 0.9375, 0.0, 1.9893425022437134e-06, 8.117285335870819e-14, 1.1277448702771491e-13, -3.99999999999764, -0.93749999999734, 2.8476222703663685e-12, 0.93750000000102, 2.0000000000033706, 2.0000000000063345, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 1.25, 0.0, 1.7736844031552407e-06, 9.39797722524145e-14, -1.256145272218727e-13, -3.9999999999983724, -1.249999999998077, 2.162451857273844e-12, 1.2499999999997427, 2.0000000000021867, 2.0000000000053704, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 1.5625, 0.0, 2.9949065371997814e-07, 2.6637738450377565e-15, 3.196468857177368e-14, -3.999999999999921, -1.5624999999998992, 6.276787661156285e-14, 1.5625000000000189, 2.0000000000001465, 2.000000000000217, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 1.875, 0.0, 1.3796515490084593e-06, 1.1395770260977304e-13, 6.819444141925482e-12, -3.9999999999990656, -1.874999999998703, 1.3120631803087016e-12, 1.8749999999919542, 2.000000000001343, 2.0000000000110982, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 2.1875, 0.0, 7.0192554283999295e-06, 4.264816362548464e-12, -1.7134085384199875e-13, -3.99999999996788, -2.1874999999531006, 3.7633059882993104e-11, 1.9999999998919877, 2.00000000005423, 2.187500000211712, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 2.5, 0.0, 1.5003425964440754e-07, 6.869668958523832e-15, -6.81896647072989e-12, -3.9999999999999614, -2.4999999999999454, 4.078528243395031e-14, 1.9999999999999958, 2.0000000000000626, 2.5000000000001217, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 2.8125, 0.0, 1.2494812819320097e-07, 2.9623183422820988e-15, 8.521125580998141e-13, -3.9999999999999867, -2.8124999999999765, 1.2768785312888231e-14, 2.0000000000000124, 2.0000000000000298, 2.8125000000000324, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 3.125, 0.0, 1.8881500442981865e-06, 5.394400177709076e-13, 3.9250410842212827e-10, -3.999999999997741, -3.124999999996337, 1.7008963722997433e-12, 2.000000000002886, 2.000000000005431, 3.1250000000041536, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 3.4375, 0.0, -8.018641798648898e-07, 2.4531803008217243e-10, 0.4107401367517977, -3.9999999999767417, -3.4374999997172844, 1.7234594925594383e-10, 2.0000000000755223, 2.00000000019026, 3.4375000002917533, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 3.75, 0.0, 0.3903099832522897, 0.25671258547041303, 0.9146839619402403, -4.030296708502103, -3.534877033349658, 0.10359248058855601, 2.0675515862174345, 2.1035924807326816, 3.911992078041981, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 4.0625, 0.0, 0.45383015046990643, 0.5716774764579682, 0.9716927717286155, -4.160461177187621, -3.6506945998028573, 0.14005402786909746, 2.1008466278031688, 2.140054027968619, 4.270525260565697, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 4.375, 0.0, 0.320482073604708, 0.8640205678007977, 0.6853160375820501, -4.385258686075385, -3.863758609015072, 0.06984195781177124, 2.0533450276766683, 2.0698419587345636, 4.475040097754147, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 4.6875, 0.0, 2.6377588389060004e-06, 0.9999999999467495, 0.21756709151856235, -4.687499999984122, -3.9999999999089577, 5.588546360905807e-11, 2.000000000045851, 2.000000000065673, 4.687500000080279, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.22666666666666666, 5.0, 0.0, 5.572169890928105e-07, 0.9999999999998992, 1.7007906194521638e-10, -4.999999999999907, -3.9999999999996994, 2.1312467075908812e-13, 2.0000000000001776, 2.0000000000002154, 5.000000000000303, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.3533333333333333, 0.0, 0.0, 2.999545034448517e-06, 0.0, 4.235624590082438e-15, -3.9999999999937486, -5.795339862471609e-13, 9.608876849774129e-12, 9.724016834907524e-12, 2.0000000000098024, 2.0000000000231917, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.3533333333333333, 0.3125, 0.0, 2.3924115151422004e-06, 1.323632684400762e-15, 2.101872603984752e-15, -3.9999999999960103, -0.31249999999387806, -2.692844439147169e-13, 0.3125000000060977, 2.0000000000062643, 2.000000000014771, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.3533333333333333, 0.625, 0.0, 4.3068422313035076e-08, 1.31367037749047e-15, 9.065210737870404e-16, -3.9999999999999702, -0.6249999999999671, 4.528433433951787e-14, 0.6250000000000078, 2.0000000000000604, 2.0000000000001097, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.3533333333333333, 0.9375, 0.0, 1.794775347087156e-07, 1.8902083555176623e-15, 2.7835177511469595e-15, -3.9999999999999707, -0.9374999999999677, 4.068603137804546e-14, 0.937499999999995, 2.0000000000000515, 2.0000000000001106, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.3533333333333333, 1.25, 0.0, 8.315608081136718e-10, 3.0533689719573196e-15, 5.193868815889514e-15, -3.999999999999906, -1.2499999999998697, 3.923497409961138e-14, 1.2500000000000588, 2.0000000000001963, 2.0000000000003166, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.3533333333333333, 1.5625, 0.0, -1.1263215149476702e-07, 5.1363763654486085e-15, -3.4045789540286795e-15, -3.9999999999999383, -1.56249999999991, 5.0985838829584616e-14, 1.5624999999999307, 2.0000000000001448, 2.0000000000002953, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.3533333333333333, 1.875, 0.0, -4.507366980317177e-08, 9.255071256893953e-16, 1.4185586360427236e-14, -3.9999999999999947, -1.8749999999999916, 6.7474303168520435e-15, 1.8749999999999327, 2.0000000000000133, 2.000000000000088, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.3533333333333333, 2.1875, 0.0, 2.4948683282575166e-07, 1.4002367840715631e-14, 6.440711292122635e-14, -3.9999999999999645, -2.187499999999924, 7.117815811186445e-14, 1.9999999999995555, 2.0000000000000786, 2.1875000000006195, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.3533333333333333, 2.5, 0.0, 4.5995597253376607e-07, 4.1179952701455865e-14, 1.8557002574991374e-12, -3.9999999999997935, -2.4999999999996168, 1.2503558351519063e-13, 2.0000000000000484, 2.0000000000006466, 2.500000000000772, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.3533333333333333, 2.8125, 0.0, 3.6079524288360696e-06, 1.1738150287776764e-12, 1.0655193448989567e-09, -3.9999999999903486, -2.812499999983058, 1.587827068488727e-12, 2.000000000013477, 2.0000000000349583, 2.812500000020666, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.3533333333333333, 3.125, 0.0, 6.094794069618097e-06, 6.659907705145494e-10, 0.2586554298044163, -3.999999999906257, -3.1249999988383865, 7.302416822927152e-10, 2.0000000000562936, 2.0000000008249765, 3.125000001765011, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.3533333333333333, 3.4375, 0.0, 0.3447529273168737, 0.161659643628934, 0.5846814903888619, -4.0182029326887365, -3.211896055718354, 0.12598585600049828, 2.0427437636194212, 2.1259858562691525, 3.6912986485213684, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.3533333333333333, 3.75, 0.0, 0.46374587804513484, 0.3654259321590294, 0.6236683598210698, -4.101152529052106, -3.2693243344795477, 0.2279638539185188, 2.1134587306503363, 2.227963854102708, 4.168873548443233, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.3533333333333333, 4.0625, 0.0, 0.48827155938719063, 0.5514523685171027, 0.577775231717245, -4.24476821256345, -3.3929241516172377, 0.2527136626488079, 2.148721231017232, 2.252713662649083, 4.499825783759127, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
